'sample interval','PLETH','III'
'0.008 sec','mV','mV'
162001,-0.24800000,-0.13600000
162002,-0.25200000,-0.20400000
162003,-0.25800000,-0.25150000
162004,-0.27000000,-0.27000000
162005,-0.28450000,-0.26750000
162006,-0.30050000,-0.23250000
162007,-0.31700000,-0.15550000
162008,-0.33700000,-0.07350000
162009,-0.35950000,-0.01550000
162010,-0.38400000,0.01050000
162011,-0.40650000,0.02250000
162012,-0.42450000,0.02500000
162013,-0.44900000,0.02350000
162014,-0.47150000,0.02400000
162015,-0.48750000,0.02550000
162016,-0.51150000,0.02500000
162017,-0.53000000,0.02500000
162018,-0.54650000,0.02500000
162019,-0.56100000,0.02450000
162020,-0.57350000,0.02200000
162021,-0.58550000,0.02200000
162022,-0.59200000,0.02700000
162023,-0.59800000,0.03350000
162024,-0.60000000,0.03600000
162025,-0.60000000,0.03500000
162026,-0.59400000,0.03900000
162027,-0.58550000,0.04200000
162028,-0.57350000,0.04350000
162029,-0.55300000,0.04700000
162030,-0.52200000,0.04850000
162031,-0.48700000,0.04400000
162032,-0.44200000,0.04200000
162033,-0.38450000,0.03650000
162034,-0.31850000,0.03050000
162035,-0.24050000,0.02700000
162036,-0.15600000,0.02100000
162037,-0.06800000,0.01400000
162038,0.02250000,0.00750000
162039,0.10900000,0.00500000
162040,0.18900000,0.00300000
162041,0.26100000,0.00300000
162042,0.32250000,0.00450000
162043,0.36750000,0.00750000
162044,0.39850000,0.00850000
162045,0.41500000,0.01100000
162046,0.41900000,0.02150000
162047,0.41100000,0.04250000
162048,0.38400000,0.06650000
162049,0.34950000,0.08550000
162050,0.30200000,0.10700000
162051,0.24650000,0.11950000
162052,0.17850000,0.11500000
162053,0.11100000,0.09600000
162054,0.03900000,0.07050000
162055,-0.03300000,0.04400000
162056,-0.10300000,0.02500000
162057,-0.16450000,0.01250000
162058,-0.22200000,0.00150000
162059,-0.26500000,-0.00550000
162060,-0.29800000,-0.01450000
162061,-0.31650000,-0.02350000
162062,-0.32650000,-0.02650000
162063,-0.32650000,-0.02600000
162064,-0.32050000,-0.02600000
162065,-0.30800000,-0.02600000
162066,-0.29400000,-0.02850000
162067,-0.27550000,-0.02350000
162068,-0.26300000,-0.00600000
162069,-0.24850000,0.00500000
162070,-0.23850000,-0.02600000
162071,-0.23850000,-0.09000000
162072,-0.23650000,-0.14850000
162073,-0.24050000,-0.20350000
162074,-0.24650000,-0.24750000
162075,-0.25700000,-0.27050000
162076,-0.27150000,-0.25850000
162077,-0.28750000,-0.20000000
162078,-0.30600000,-0.11550000
162079,-0.32450000,-0.04000000
162080,-0.32700000,0.00450000
162081,-0.34750000,0.01950000
162082,-0.37000000,0.02350000
162083,-0.39250000,0.02550000
162084,-0.41700000,0.02650000
162085,-0.43750000,0.02850000
162086,-0.46050000,0.03050000
162087,-0.47700000,0.03250000
162088,-0.49550000,0.03200000
162089,-0.50950000,0.03250000
162090,-0.52400000,0.02950000
162091,-0.53250000,0.03250000
162092,-0.54050000,0.03550000
162093,-0.54850000,0.03600000
162094,-0.55050000,0.03800000
162095,-0.55300000,0.04450000
162096,-0.54850000,0.04750000
162097,-0.54050000,0.04700000
162098,-0.53000000,0.05200000
162099,-0.51400000,0.05650000
162100,-0.49100000,0.05850000
162101,-0.46050000,0.05600000
162102,-0.42150000,0.05050000
162103,-0.37200000,0.04700000
162104,-0.31250000,0.04150000
162105,-0.24250000,0.03400000
162106,-0.16650000,0.02700000
162107,-0.08250000,0.02150000
162108,0.00400000,0.01600000
162109,0.09050000,0.01050000
162110,0.17450000,0.00550000
162111,0.25050000,0.00150000
162112,0.31650000,0.00200000
162113,0.37400000,0.00500000
162114,0.41500000,0.01050000
162115,0.44150000,0.01100000
162116,0.45400000,0.01650000
162117,0.45400000,0.03100000
162118,0.43950000,0.05600000
162119,0.40900000,0.08050000
162120,0.36750000,0.09950000
162121,0.31850000,0.11400000
162122,0.25900000,0.12000000
162123,0.19500000,0.11100000
162124,0.12300000,0.08900000
162125,0.05150000,0.06200000
162126,-0.01850000,0.03700000
162127,-0.08650000,0.01950000
162128,-0.14400000,0.00950000
162129,-0.19550000,0.00100000
162130,-0.23250000,-0.00550000
162131,-0.25900000,-0.01100000
162132,-0.27550000,-0.01500000
162133,-0.27950000,-0.01800000
162134,-0.27550000,-0.01900000
162135,-0.26700000,-0.01850000
162136,-0.25500000,-0.01750000
162137,-0.23850000,-0.02000000
162138,-0.22000000,-0.01450000
162139,-0.20750000,0.00150000
162140,-0.19550000,-0.00300000
162141,-0.18900000,-0.04850000
162142,-0.18700000,-0.10900000
162143,-0.18700000,-0.16700000
162144,-0.17650000,-0.21550000
162145,-0.18700000,-0.25150000
162146,-0.19950000,-0.26250000
162147,-0.21600000,-0.22850000
162148,-0.23500000,-0.15700000
162149,-0.25350000,-0.08050000
162150,-0.27650000,-0.01500000
162151,-0.29700000,0.01750000
162152,-0.32200000,0.02650000
162153,-0.34300000,0.02900000
162154,-0.36600000,0.03200000
162155,-0.39050000,0.03300000
162156,-0.40950000,0.03450000
162157,-0.43250000,0.03450000
162158,-0.45100000,0.03550000
162159,-0.46950000,0.03600000
162160,-0.48400000,0.03600000
162161,-0.49450000,0.03800000
162162,-0.50500000,0.04000000
162163,-0.51350000,0.04150000
162164,-0.51750000,0.04350000
162165,-0.51550000,0.04250000
162166,-0.51350000,0.04550000
162167,-0.51100000,0.05200000
162168,-0.50100000,0.05650000
162169,-0.48850000,0.05850000
162170,-0.46950000,0.06100000
162171,-0.44450000,0.06200000
162172,-0.41150000,0.06100000
162173,-0.36600000,0.05500000
162174,-0.31150000,0.05100000
162175,-0.25150000,0.04550000
162176,-0.17850000,0.03600000
162177,-0.09750000,0.02750000
162178,-0.01250000,0.02300000
162179,0.07050000,0.01800000
162180,0.16000000,0.01450000
162181,0.23900000,0.01200000
162182,0.31600000,0.01050000
162183,0.37600000,0.01100000
162184,0.42600000,0.01250000
162185,0.46150000,0.01450000
162186,0.48400000,0.01600000
162187,0.49250000,0.02550000
162188,0.48650000,0.04500000
162189,0.46550000,0.06750000
162190,0.43000000,0.09600000
162191,0.38650000,0.12300000
162192,0.33050000,0.13900000
162193,0.26600000,0.13500000
162194,0.19750000,0.11500000
162195,0.12450000,0.09250000
162196,0.05000000,0.06600000
162197,-0.01850000,0.03700000
162198,-0.08300000,0.01850000
162199,-0.14150000,0.01150000
162200,-0.18500000,0.00150000
162201,-0.22050000,-0.00350000
162202,-0.24100000,-0.00550000
162203,-0.25150000,-0.00750000
162204,-0.25350000,-0.00700000
162205,-0.24750000,-0.00750000
162206,-0.23300000,-0.00700000
162207,-0.21800000,-0.00750000
162208,-0.18000000,-0.00650000
162209,-0.16550000,-0.00050000
162210,-0.15050000,0.01250000
162211,-0.14450000,0.00550000
162212,-0.13600000,-0.03900000
162213,-0.13600000,-0.09700000
162214,-0.14250000,-0.15250000
162215,-0.14850000,-0.20050000
162216,-0.16100000,-0.23350000
162217,-0.17350000,-0.24800000
162218,-0.19250000,-0.22250000
162219,-0.20950000,-0.14750000
162220,-0.23450000,-0.06250000
162221,-0.25300000,0.00000000
162222,-0.27850000,0.02500000
162223,-0.30150000,0.03450000
162224,-0.32450000,0.04000000
162225,-0.34750000,0.04150000
162226,-0.36650000,0.03950000
162227,-0.38950000,0.04000000
162228,-0.40800000,0.04450000
162229,-0.42500000,0.04700000
162230,-0.44400000,0.04200000
162231,-0.45400000,0.04150000
162232,-0.46700000,0.04900000
162233,-0.47500000,0.05450000
162234,-0.48150000,0.05500000
162235,-0.48550000,0.05650000
162236,-0.48750000,0.06000000
162237,-0.48550000,0.06350000
162238,-0.47950000,0.06550000
162239,-0.47100000,0.06850000
162240,-0.45650000,0.07250000
162241,-0.43950000,0.07300000
162242,-0.41050000,0.07250000
162243,-0.37700000,0.06900000
162244,-0.33050000,0.06700000
162245,-0.27650000,0.06450000
162246,-0.21350000,0.06150000
162247,-0.13800000,0.05500000
162248,-0.05650000,0.04500000
162249,0.03150000,0.03450000
162250,0.11950000,0.02750000
162251,0.20750000,0.02500000
162252,0.28900000,0.02300000
162253,0.36000000,0.02000000
162254,0.42300000,0.01750000
