point,rri,ECGshift,PPGGshift
162026,0.560,20,20
162096,0.568,20,20
162167,0.568,20,20
162238,0.568,20,20
162309,0.568,20,20
162380,0.568,20,20
162451,0.560,20,20
162521,0.560,20,20
162591,0.592,20,20
162665,0.568,20,20
162736,0.576,20,20
162808,0.584,20,20
162881,1.136,20,20
163023,0.664,20,20
163106,0.576,20,20
163178,0.592,20,20
163252,0.584,20,20
163325,0.584,20,20
163398,0.584,20,20
163471,0.576,20,20
163543,0.584,20,20
163616,0.576,20,20
163688,0.576,20,20
163760,0.584,20,20
163833,0.568,20,20
163904,0.584,20,20
163977,0.576,20,20
164049,0.576,20,20
164121,0.560,20,20
164191,0.592,20,20
164265,0.576,20,20
164337,0.568,20,20
164408,0.576,20,20
164480,0.568,20,20
164551,0.568,20,20
164622,0.576,20,20
164694,0.568,20,20
164765,0.576,20,20
164837,0.576,20,20
164909,0.576,20,20
164981,0.576,20,20
165053,0.576,20,20
165125,0.576,20,20
165197,0.576,20,20
165269,0.576,20,20
165341,0.576,20,20
165413,0.576,20,20
165485,0.568,20,20
165556,0.584,20,20
165629,0.576,20,20
165701,0.576,20,20
