'sample interval','PLETH','V'
'0.008 sec','mV','mV'
112501,-0.32050000,0.01750000
112502,-0.33500000,0.02100000
112503,-0.34900000,0.02200000
112504,-0.36850000,0.02550000
112505,-0.38750000,0.03250000
112506,-0.40200000,0.09000000
112507,-0.41600000,0.28450000
112508,-0.43550000,0.56300000
112509,-0.44950000,0.68000000
112510,-0.46400000,0.51950000
112511,-0.48300000,0.25250000
112512,-0.50200000,0.06950000
112513,-0.51650000,-0.00900000
112514,-0.54050000,-0.03600000
112515,-0.56450000,-0.03700000
112516,-0.58850000,-0.03200000
112517,-0.61700000,-0.02950000
112518,-0.65050000,-0.03300000
112519,-0.68400000,-0.03450000
112520,-0.71250000,-0.03500000
112521,-0.75100000,-0.03450000
112522,-0.78900000,-0.03700000
112523,-0.82750000,-0.03850000
112524,-0.87050000,-0.03700000
112525,-0.90400000,-0.03700000
112526,-0.94700000,-0.03700000
112527,-0.98500000,-0.03700000
112528,-1.01850000,-0.03700000
112529,-,-0.03850000
112530,-,-0.04050000
112531,-,-0.04300000
112532,-,-0.04450000
112533,-,-0.04550000
112534,-,-0.04250000
112535,-,-0.04200000
112536,-,-0.04950000
112537,-,-0.05700000
112538,-,-0.06150000
112539,-,-0.05950000
112540,-,-0.05500000
112541,-,-0.05500000
112542,-,-0.05850000
112543,-,-0.05850000
112544,-,-0.05550000
112545,-,-0.05150000
112546,-1.00900000,-0.04550000
112547,-0.97050000,-0.04050000
112548,-0.92750000,-0.03500000
112549,-0.88950000,-0.02800000
112550,-0.85100000,-0.02150000
112551,-0.81750000,-0.01500000
112552,-0.78900000,-0.00550000
112553,-0.75550000,0.00350000
112554,-0.73650000,0.00900000
112555,-0.71700000,0.01250000
112556,-0.71250000,0.01600000
112557,-0.70750000,0.01800000
112558,-0.71700000,0.01950000
112559,-0.73150000,0.02200000
112560,-0.75550000,0.02650000
112561,-0.78900000,0.03050000
112562,-0.83200000,0.03450000
112563,-0.86550000,0.03950000
112564,-0.90350000,0.04000000
112565,-0.93250000,0.04300000
112566,-0.95150000,0.04400000
112567,-0.95600000,0.04650000
112568,-0.96600000,0.04650000
112569,-0.98500000,0.04350000
112570,-0.99450000,0.04350000
112571,-1.01850000,0.04400000
112572,-,0.04400000
112573,-,0.04400000
112574,-,0.04400000
112575,-,0.04400000
112576,-,0.04200000
112577,-,0.03950000
112578,-,0.03950000
112579,-,0.04000000
112580,-,0.04000000
112581,-,0.03950000
112582,-,0.03800000
112583,-,0.03800000
112584,-,0.03600000
112585,-,0.03250000
112586,-,0.02900000
112587,-,0.02900000
112588,-,0.02900000
112589,-,0.02900000
112590,-,0.03200000
112591,-,0.03250000
112592,-,0.03400000
112593,-,0.03550000
112594,-,0.03250000
112595,-,0.03400000
112596,-,0.03950000
112597,-0.95600000,0.03950000
112598,-0.83200000,0.03650000
112599,-0.69800000,0.03050000
112600,-0.55950000,0.02050000
112601,-0.43050000,0.01400000
112602,-0.30100000,0.01400000
112603,-0.18650000,0.01400000
112604,-0.08600000,0.01550000
112605,0.00000000,0.02000000
112606,0.07200000,0.02900000
112607,0.12450000,0.08850000
112608,0.16750000,0.27850000
112609,0.20550000,0.52700000
112610,0.23450000,0.60950000
112611,0.26800000,0.44950000
112612,0.29150000,0.21050000
112613,0.30150000,0.04650000
112614,0.29650000,-0.02250000
112615,0.28200000,-0.04500000
112616,0.26300000,-0.04800000
112617,0.22000000,-0.04800000
112618,0.17700000,-0.04900000
112619,0.11500000,-0.04850000
112620,0.05750000,-0.05000000
112621,0.00500000,-0.05650000
112622,-0.03350000,-0.06100000
112623,-0.05750000,-0.06800000
112624,-0.06200000,-0.08100000
112625,-0.03800000,-0.09800000
112626,0.01450000,-0.09800000
112627,0.07650000,-0.07400000
112628,0.14850000,-0.04500000
112629,0.23450000,-0.02950000
112630,0.33450000,-0.03200000
112631,0.44450000,-0.04000000
112632,0.54500000,-0.03800000
112633,0.65500000,-0.03250000
112634,0.77000000,-0.03300000
112635,0.88000000,-0.03750000
112636,0.98000000,-0.04250000
112637,1.02350000,-0.04950000
112638,1.02350000,-0.05450000
112639,1.02350000,-0.05500000
112640,1.02350000,-0.05300000
112641,1.02350000,-0.04950000
112642,0.97050000,-0.04800000
112643,0.84650000,-0.04800000
112644,0.70300000,-0.05150000
112645,0.56400000,-0.05700000
112646,0.44450000,-0.06400000
112647,0.34900000,-0.06950000
112648,0.28700000,-0.06750000
112649,0.25800000,-0.05600000
112650,0.25350000,-0.04200000
112651,0.26300000,-0.02900000
112652,0.28200000,-0.01450000
112653,0.29650000,0.00250000
112654,0.29650000,0.01200000
112655,0.26800000,0.01450000
112656,0.22000000,0.01550000
112657,0.14350000,0.01800000
112658,0.04800000,0.01800000
112659,-0.06700000,0.01800000
112660,-0.20050000,0.02250000
112661,-0.34750000,0.02550000
112662,-0.49900000,0.03250000
112663,-0.66050000,0.05800000
112664,-0.81700000,0.14750000
112665,-0.98300000,0.36450000
112666,-,0.62900000
112667,-,0.70200000
112668,-,0.50900000
112669,-,0.24750000
112670,-,0.07900000
112671,-,-0.00350000
112672,-,-0.03250000
112673,-,-0.03700000
112674,-,-0.03700000
112675,-,-0.03850000
112676,-,-0.03750000
112677,-,-0.04000000
112678,-,-0.04050000
112679,-,-0.04350000
112680,-,-0.04800000
112681,-,-0.04950000
112682,-,-0.05000000
112683,-,-0.05100000
112684,-,-0.05200000
112685,-,-0.05400000
112686,-,-0.05500000
112687,-,-0.05500000
112688,-,-0.05850000
112689,-,-0.05900000
112690,-,-0.05900000
112691,-,-0.05900000
112692,-,-0.06000000
112693,-,-0.06100000
112694,-,-0.06100000
112695,-,-0.05950000
112696,-,-0.05850000
112697,-,-0.05700000
112698,-,-0.05350000
112699,-,-0.04900000
112700,-,-0.04200000
112701,-,-0.03500000
112702,-,-0.02750000
112703,-,-0.01850000
112704,-,-0.00900000
112705,-,0.00250000
112706,-0.99300000,0.01200000
112707,-0.88550000,0.01450000
112708,-0.81200000,0.01400000
112709,-0.81700000,0.01400000
112710,-0.89500000,0.01550000
112711,-,0.01800000
112712,-,0.01800000
112713,-,0.01800000
112714,-,0.01800000
112715,-,0.01800000
112716,-,0.01800000
112717,-,0.02100000
112718,-,0.02150000
112719,-,0.01650000
112720,-,0.01400000
112721,-,0.01750000
112722,-,0.01800000
112723,-0.99300000,0.01800000
112724,-0.71900000,0.01800000
112725,-0.49900000,0.01800000
112726,-0.32800000,0.01800000
112727,-0.20550000,0.01950000
112728,-0.11250000,0.01800000
112729,-0.02950000,0.01800000
112730,0.05350000,0.01800000
112731,0.13200000,0.01800000
112732,0.22000000,0.01800000
112733,0.30800000,0.02100000
112734,0.39600000,0.02200000
112735,0.48400000,0.02350000
112736,0.56250000,0.02050000
112737,0.64550000,0.01700000
112738,0.71400000,0.01450000
112739,0.78250000,0.01400000
112740,0.84600000,0.01400000
112741,0.90950000,0.01400000
112742,0.95850000,0.01400000
112743,1.00750000,0.01400000
112744,1.02350000,0.01400000
112745,1.02350000,0.01400000
112746,1.02350000,0.01750000
112747,1.02350000,0.01800000
112748,1.02350000,0.01600000
112749,1.02350000,0.01550000
112750,1.02350000,0.01800000
112751,1.02350000,0.01800000
112752,1.02350000,0.01600000
112753,1.02350000,0.01400000
112754,1.02350000,0.01400000
112755,1.02350000,0.01400000
112756,1.02350000,0.01750000
112757,1.02350000,0.01800000
112758,1.02350000,0.01800000
112759,1.02350000,0.01800000
112760,1.02350000,0.01750000
112761,1.02350000,0.01450000
112762,1.02350000,0.01550000
112763,1.02350000,0.01800000
112764,1.02350000,0.01900000
112765,1.02350000,0.01850000
112766,1.02350000,0.01950000
112767,1.02350000,0.02150000
112768,1.02350000,0.02200000
112769,1.02350000,0.02200000
112770,1.02350000,0.02700000
112771,0.96800000,0.03200000
112772,0.89500000,0.03150000
112773,0.81150000,0.02450000
112774,0.72350000,0.01950000
112775,0.63100000,0.01600000
112776,0.53800000,0.01400000
112777,0.45950000,0.01400000
112778,0.38150000,0.01400000
112779,0.29800000,0.01750000
112780,0.20550000,0.02200000
112781,0.09750000,0.04800000
112782,-0.03450000,0.19050000
112783,-0.21550000,0.47550000
112784,-0.45000000,0.68600000
112785,-0.72400000,0.61550000
112786,-,0.35850000
112787,-,0.12600000
112788,-,0.00000000
112789,-,-0.04550000
112790,-,-0.05350000
112791,-,-0.04950000
112792,-,-0.04800000
112793,-,-0.05100000
112794,-,-0.05200000
112795,-,-0.05400000
112796,-,-0.05450000
112797,-,-0.05350000
112798,-,-0.05650000
112799,-,-0.05900000
112800,-,-0.05900000
112801,-,-0.05900000
112802,-,-0.06250000
112803,-,-0.06550000
112804,-,-0.06400000
112805,-,-0.06250000
112806,-,-0.06300000
112807,-,-0.06300000
112808,-,-0.06300000
112809,-,-0.06450000
112810,-,-0.06600000
112811,-,-0.06750000
112812,-,-0.07000000
112813,-,-0.07350000
112814,-,-0.07500000
112815,-,-0.07450000
112816,-,-0.07350000
112817,-,-0.07450000
112818,-,-0.07300000
112819,-,-0.07100000
112820,-,-0.06900000
112821,-,-0.06650000
112822,-,-0.06400000
112823,-,-0.06200000
112824,-,-0.05750000
112825,-,-0.04950000
112826,-,-0.04200000
112827,-,-0.03500000
112828,-,-0.02750000
112829,-,-0.02000000
112830,-,-0.01250000
112831,-,-0.00100000
112832,-,0.00900000
112833,-,0.01400000
112834,-,0.01400000
112835,-,0.01550000
112836,-,0.01800000
112837,-,0.01800000
112838,-,0.01950000
112839,-,0.02350000
112840,-,0.02750000
112841,-,0.03200000
112842,-,0.03750000
112843,-,0.04150000
112844,0.84050000,0.04350000
112845,1.02350000,0.04400000
112846,1.02350000,0.04400000
112847,1.02350000,0.04400000
112848,1.02350000,0.04200000
112849,1.02350000,0.03800000
112850,1.02350000,0.03600000
112851,1.02350000,0.03550000
112852,1.02350000,0.03250000
112853,1.02350000,0.02900000
112854,1.02350000,0.02900000
112855,1.02350000,0.02900000
112856,1.02350000,0.02700000
112857,1.02350000,0.02450000
112858,1.02350000,0.02200000
112859,1.02350000,0.02200000
112860,1.02350000,0.02200000
112861,1.02350000,0.02200000
