'sample interval','PLETH','II'
'0.008 sec','mV','mV'
787501,0.79250000,-0.05719298
787502,0.78200000,-0.05333333
787503,0.77200000,-0.06491228
787504,0.75100000,-0.05894737
787505,0.71950000,-0.06491228
787506,0.69850000,-0.04947368
787507,0.67800000,-0.06105263
787508,0.64650000,-0.06280702
787509,0.61500000,-0.06666667
787510,0.58400000,-0.09192982
787511,0.56300000,-0.02035088
787512,0.54200000,0.17157895
787513,0.53150000,0.28701754
787514,0.51100000,0.35052632
787515,0.50050000,0.32350877
787516,0.47950000,0.31964912
787517,0.46900000,0.18140351
787518,0.44800000,0.01754386
787519,0.43800000,-0.00877193
787520,0.41700000,-0.02631579
787521,0.39600000,-0.02035088
787522,0.37500000,-0.02807018
787523,0.35450000,-0.02807018
787524,0.34400000,-0.03403509
787525,0.32300000,-0.03017544
787526,0.29150000,-0.03192982
787527,0.27100000,-0.03192982
787528,0.25000000,-0.03403509
787529,0.22900000,-0.03192982
787530,0.21850000,-0.05719298
787531,0.19750000,-0.05719298
787532,0.18750000,-0.05894737
787533,0.18750000,-0.06105263
787534,0.18750000,-0.06666667
787535,0.19750000,-0.06280702
787536,0.20800000,-0.06105263
787537,0.21850000,-0.06105263
787538,0.23950000,-0.06105263
787539,0.27100000,-0.05894737
787540,0.29150000,-0.05894737
787541,0.32300000,-0.05894737
787542,0.35450000,-0.05894737
787543,0.37500000,-0.04947368
787544,0.42750000,-0.03789474
787545,0.45850000,-0.03192982
787546,0.47950000,-0.02421053
787547,0.51100000,-0.02631579
787548,0.54200000,-0.02245614
787549,0.57350000,-0.00315789
787550,0.60500000,0.01578947
787551,0.64650000,0.02736842
787552,0.67800000,0.05228070
787553,0.69850000,0.06771930
787554,0.73000000,0.08526316
787555,0.76150000,0.09298246
787556,0.77200000,0.11964912
787557,0.77200000,0.11754386
787558,0.77200000,0.06982456
787559,0.75100000,-0.00701754
787560,0.73000000,-0.02807018
787561,0.69850000,-0.05122807
787562,0.66750000,-0.06280702
787563,0.61500000,-0.06105263
787564,0.59450000,-0.06105263
787565,0.55250000,-0.07438596
787566,0.52150000,-0.07649123
787567,0.49000000,-0.07649123
787568,0.45850000,-0.07052632
787569,0.43800000,-0.07263158
787570,0.39600000,-0.10315789
787571,0.36450000,-0.05122807
787572,0.32300000,0.12912281
787573,0.29150000,0.25228070
787574,0.27100000,0.34070175
787575,0.22900000,0.31789474
787576,0.18750000,0.30631579
787577,0.16650000,0.20035088
787578,0.12450000,0.02175439
