point,rri,ECGshift,PPGGshift
112509,0.568,27,27
112580,0.504,27,27
112643,0.568,27,27
112714,0.552,27,27
112783,0.592,27,27
112857,0.704,27,27
112945,0.648,27,27
113026,0.568,27,27
113097,0.648,27,27
113178,0.632,27,27
113257,0.544,27,27
113325,0.520,27,27
113390,0.704,27,27
113478,0.688,27,27
113564,0.592,27,27
113638,0.592,27,27
113712,0.600,27,27
113787,0.656,27,27
113869,1.104,27,27
114007,0.720,27,27
114097,0.640,27,27
114177,0.672,27,27
114261,0.664,27,27
114344,0.664,27,27
114427,0.600,27,27
114502,0.592,27,27
114576,0.576,27,27
114648,0.520,27,27
114713,0.688,27,27
114799,0.592,27,27
114873,0.648,27,27
114954,0.632,27,27
115033,0.536,27,27
115100,0.592,27,27
115174,0.640,27,27
115254,0.640,27,27
115334,0.640,27,27
115414,0.600,27,27
115489,0.560,27,27
115559,0.592,27,27
115633,0.600,27,27
115708,0.512,27,27
115772,0.616,27,27
115849,0.600,27,27
115924,0.552,27,27
115993,0.712,27,27
116082,0.656,27,27
116164,0.688,27,27
116250,0.616,27,27
116327,0.584,27,27
116400,0.688,27,27
116486,0.632,27,27
116565,0.616,27,27
116642,0.552,27,27
116711,0.664,27,27
116794,0.656,27,27
116876,0.544,27,27
116944,0.544,27,27
117012,0.664,27,27
117095,0.664,27,27
117178,0.632,27,27
117257,0.608,27,27
117333,0.656,27,27
117415,0.656,27,27
117497,0.680,27,27
117582,0.664,27,27
117665,0.608,27,27
117741,0.656,27,27
117823,0.672,27,27
117907,0.648,27,27
117988,0.536,27,27
118055,0.544,27,27
118123,0.576,27,27
118195,0.704,27,27
118283,0.608,27,27
118359,0.704,27,27
118447,0.728,27,27
118538,0.768,27,27
118634,0.672,27,27
118718,0.656,27,27
118800,0.568,27,27
118871,0.552,27,27
118940,0.592,27,27
119014,0.680,27,27
119099,0.632,27,27
119178,0.592,27,27
119252,0.728,27,27
119343,0.592,27,27
119417,0.568,27,27
119488,0.568,27,27
119559,0.624,27,27
119637,0.616,27,27
119714,0.680,27,27
119799,0.616,27,27
119876,0.632,27,27
119955,0.600,27,27
120030,0.568,27,27
120101,0.624,27,27
120179,0.624,27,27
120257,0.528,27,27
