'sample interval','PLETH','III'
'0.008 sec','mV','mV'
112501,-0.11500000,-0.06800000
112502,-0.13650000,-0.05900000
112503,-0.15100000,-0.04200000
112504,-0.17950000,-0.01650000
112505,-0.19400000,0.00850000
112506,-0.22250000,0.03550000
112507,-0.24400000,0.06750000
112508,-0.25850000,0.10550000
112509,-0.27300000,0.12850000
112510,-0.26600000,0.12350000
112511,-0.25850000,0.10400000
112512,-0.23000000,0.08200000
112513,-0.18650000,0.06150000
112514,-0.12900000,0.04250000
112515,-0.05000000,0.02500000
112516,-0.05600000,0.01050000
112517,0.03550000,-0.00900000
112518,0.13400000,-0.02850000
112519,0.21800000,-0.03500000
112520,0.28150000,-0.03850000
112521,0.33750000,-0.04550000
112522,0.37300000,-0.04600000
112523,0.39400000,-0.04350000
112524,0.38700000,-0.03850000
112525,0.38000000,-0.02800000
112526,0.35200000,-0.02400000
112527,0.30250000,-0.02950000
112528,0.26050000,-0.03450000
112529,0.21100000,-0.03650000
112530,0.14800000,-0.03150000
112531,0.09150000,-0.02300000
112532,0.02150000,-0.02900000
112533,-0.03500000,-0.04300000
112534,-0.09100000,-0.04150000
112535,-0.15450000,-0.01050000
112536,-0.21050000,0.05350000
112537,-0.26700000,0.17950000
112538,-0.32300000,0.39550000
112539,-0.36550000,0.60850000
112540,-0.41450000,0.58450000
112541,-0.45000000,0.32900000
112542,-0.48500000,0.09800000
112543,-0.50600000,-0.01750000
112544,-0.52000000,-0.07050000
112545,-0.52000000,-0.09600000
112546,-0.52000000,-0.09900000
112547,-0.51300000,-0.09900000
112548,-0.49900000,-0.10200000
112549,-0.48500000,-0.10250000
112550,-0.47100000,-0.09750000
112551,-0.45700000,-0.08450000
112552,-0.44300000,-0.07250000
112553,-0.44300000,-0.06950000
112554,-0.43550000,-0.06800000
112555,-0.45000000,-0.06250000
112556,-0.46400000,-0.05900000
112557,-0.47100000,-0.05100000
112558,-0.49900000,-0.03350000
112559,-0.52700000,-0.01300000
112560,-0.55550000,0.01100000
112561,-0.57650000,0.04450000
112562,-0.60450000,0.07600000
112563,-0.63250000,0.09900000
112564,-0.64650000,0.11250000
112565,-0.64650000,0.11700000
112566,-0.63250000,0.10900000
112567,-0.60450000,0.09000000
112568,-0.56250000,0.06900000
112569,-0.48500000,0.05050000
112570,-0.40050000,0.02650000
112571,-0.31600000,0.00550000
112572,-0.22500000,-0.00350000
112573,-0.12650000,-0.01000000
112574,-0.03500000,-0.02000000
112575,0.03550000,-0.03050000
112576,0.09150000,-0.03700000
112577,0.12700000,-0.03800000
112578,0.14100000,-0.03000000
112579,0.13400000,-0.02050000
112580,0.11250000,-0.01850000
112581,0.08450000,-0.01700000
112582,0.04250000,-0.01150000
112583,-0.00700000,-0.01600000
112584,-0.05600000,-0.01900000
112585,-0.11950000,-0.02350000
112586,-0.18950000,-0.03100000
112587,-0.24600000,-0.03550000
112588,-0.31600000,-0.03750000
112589,-0.37950000,-0.02100000
112590,-0.44300000,0.02600000
112591,-0.50600000,0.11650000
112592,-0.55550000,0.28700000
112593,-0.60450000,0.54400000
112594,-0.64650000,0.66300000
112595,-0.68200000,0.47800000
112596,-0.70300000,0.19350000
112597,-0.72400000,0.01550000
112598,-0.73100000,-0.05950000
112599,-0.73100000,-0.08750000
112600,-0.73100000,-0.09900000
112601,-0.71000000,-0.10000000
112602,-0.68200000,-0.09400000
112603,-0.65350000,-0.08600000
112604,-0.62550000,-0.07900000
112605,-0.59050000,-0.07650000
112606,-0.55550000,-0.07650000
112607,-0.54100000,-0.07400000
112608,-0.51300000,-0.07650000
112609,-0.49900000,-0.07800000
112610,-0.49200000,-0.07150000
112611,-0.49200000,-0.06050000
112612,-0.50600000,-0.04900000
112613,-0.50600000,-0.03150000
112614,-0.52700000,-0.00550000
112615,-0.52700000,0.03150000
112616,-0.54800000,0.06450000
112617,-0.55550000,0.08500000
112618,-0.54800000,0.09400000
112619,-0.54800000,0.10150000
112620,-0.53400000,0.10150000
