'sample interval','PLETH','I'
'0.008 sec','mV','mV'
112501,-0.09350000,0.12757190
112502,-0.08800000,0.10938446
112503,-0.07900000,0.08729971
112504,-0.07300000,0.06287658
112505,-0.05850000,0.04105165
112506,-0.04700000,0.02572224
112507,-0.02950000,0.01662852
112508,-0.01750000,0.00909372
112509,0.00000000,-0.00077946
112510,0.01150000,-0.01091246
112511,0.02600000,-0.01636870
112512,0.03800000,-0.02052582
112513,0.04650000,-0.02312403
112514,0.05250000,-0.02208475
112515,0.05850000,-0.01896690
112516,0.06150000,-0.01351067
112517,0.06150000,-0.00571605
112518,0.06400000,0.00129910
112519,0.06150000,0.00623569
112520,0.05850000,0.00701516
112521,0.05250000,0.00025982
112522,0.04350000,-0.01844726
112523,0.03800000,-0.03767398
112524,0.02900000,-0.04910609
112525,0.02350000,-0.05352304
112526,0.01450000,-0.05404268
112527,0.00550000,-0.05352304
112528,-0.00300000,-0.05871945
112529,-0.00900000,-0.06677389
112530,-0.01450000,-0.07197030
112531,-0.02050000,-0.07145066
112532,-0.02950000,-0.06235694
112533,-0.03200000,-0.01688834
112534,-0.03500000,0.09821217
112535,-0.03800000,0.20915556
112536,-0.04100000,0.16342714
112537,-0.04400000,0.00519641
112538,-0.04400000,-0.09821217
112539,-0.04100000,-0.15719144
112540,-0.03800000,-0.23773582
112541,-0.03800000,-0.31646145
112542,-0.03500000,-0.35699346
112543,-0.03500000,-0.33750692
112544,-0.04050000,-0.24605008
112545,-0.03800000,-0.12991028
112546,-0.03800000,-0.04910609
112547,-0.03800000,-0.01117228
112548,-0.03800000,0.00311785
112549,-0.03800000,0.00857408
112550,-0.04050000,0.01844726
112551,-0.04050000,0.03065883
112552,-0.04350000,0.03507578
112553,-0.04650000,0.03221775
112554,-0.05250000,0.03299721
112555,-0.05250000,0.03897309
112556,-0.05550000,0.04910609
112557,-0.05850000,0.05534178
112558,-0.06100000,0.05871945
112559,-0.06100000,0.06157747
112560,-0.06400000,0.07041137
112561,-0.06700000,0.08755953
112562,-0.07000000,0.10418805
112563,-0.06700000,0.11380141
112564,-0.06700000,0.11899782
112565,-0.06400000,0.11821836
112566,-0.06100000,0.11068356
112567,-0.05850000,0.09405505
112568,-0.04950000,0.07326940
112569,-0.03800000,0.05274358
112570,-0.02600000,0.03611506
112571,-0.01150000,0.02260439
112572,0.00300000,0.01039282
112573,0.02350000,-0.00077946
112574,0.04700000,-0.01195175
112575,0.06150000,-0.02000618
112576,0.07900000,-0.02390349
112577,0.09350000,-0.02676152
112578,0.10850000,-0.03221775
112579,0.12000000,-0.04027219
112580,0.12300000,-0.04157129
112581,0.12850000,-0.03169811
112582,0.13150000,-0.02312403
112583,0.12850000,-0.02052582
112584,0.12000000,-0.01714816
112585,0.11400000,-0.01013300
112586,0.10550000,-0.00961336
112587,0.09950000,-0.02156511
112588,0.08800000,-0.03689452
112589,0.07900000,-0.04832663
112590,0.06750000,-0.05716052
112591,0.05550000,-0.06443550
112592,0.04700000,-0.06989173
112593,0.03800000,-0.06937209
112594,0.02350000,-0.06703371
112595,0.01750000,-0.06937209
112596,0.01200000,-0.07482832
112597,0.00000000,-0.07664707
112598,-0.00300000,-0.06547478
112599,-0.01150000,-0.01974636
112600,-0.01750000,0.08911845
112601,-0.01750000,0.18681099
112602,-0.02050000,0.13276831
112603,-0.02300000,-0.01584905
112604,-0.02300000,-0.10600679
112605,-0.02600000,-0.16108875
112606,-0.02600000,-0.23851528
112607,-0.02900000,-0.30918648
112608,-0.02600000,-0.34374261
112609,-0.02600000,-0.32165786
112610,-0.02300000,-0.22838228
112611,-0.02300000,-0.11510051
112612,-0.02600000,-0.04157129
112613,-0.02600000,-0.01117228
112614,-0.02600000,-0.00103928
112615,-0.02900000,0.00103928
112616,-0.02900000,0.00623569
112617,-0.03200000,0.01273121
112618,-0.03500000,0.01792762
112619,-0.03800000,0.02156511
112620,-0.04050000,0.02520260
112621,-0.04650000,0.02754098
112622,-0.04950000,0.02935972
112623,-0.05250000,0.03039901
112624,-0.05850000,0.03273739
112625,-0.06100000,0.03897309
112626,-0.07000000,0.05404268
112627,-0.07000000,0.07352922
112628,-0.07600000,0.08937828
112629,-0.07300000,0.09457469
112630,-0.07600000,0.08807917
112631,-0.07300000,0.08158366
112632,-0.07300000,0.08080420
112633,-0.06400000,0.07197030
112634,-0.05850000,0.05248375
112635,-0.05250000,0.03429631
112636,-0.04050000,0.01870708
112637,-0.02600000,0.00233839
112638,-0.01150000,-0.00857408
112639,0.00900000,-0.01221157
112640,0.02050000,-0.01870708
112641,0.03800000,-0.03351685
112642,0.05300000,-0.04339003
112643,0.06750000,-0.03819362
