point,rri,ECGshift,PPGGshift
112501,0.488,19,19
112562,0.528,19,19
112628,0.552,19,19
112697,0.528,19,19
112763,0.544,19,19
112831,0.552,19,19
112900,0.520,19,19
112965,0.520,19,19
113030,0.552,19,19
113099,0.512,19,19
113163,0.536,19,19
113230,0.512,19,19
113294,0.544,19,19
113362,0.520,19,19
113427,0.528,19,19
113493,0.536,19,19
113560,1.088,19,19
113696,0.504,19,19
113759,0.512,19,19
113823,0.544,19,19
113891,0.528,19,19
113957,0.552,19,19
114026,0.480,19,19
114086,0.536,19,19
114153,0.560,19,19
114223,0.512,19,19
114287,0.528,19,19
114353,0.528,19,19
114419,0.544,19,19
114487,0.512,19,19
114551,0.320,19,19
114591,0.184,19,19
114614,0.560,19,19
114684,0.520,19,19
114749,0.552,19,19
114818,0.528,19,19
114884,0.536,19,19
114951,0.496,19,19
115013,0.544,19,19
115081,0.560,19,19
115151,0.536,19,19
115218,0.528,19,19
115284,0.536,19,19
115351,0.512,19,19
115415,0.536,19,19
115482,0.536,19,19
115549,0.512,19,19
115613,0.528,19,19
115679,0.512,19,19
115743,0.512,19,19
115807,0.608,19,19
115883,0.544,19,19
115951,0.520,19,19
116016,1.096,19,19
116153,0.504,19,19
116216,0.520,19,19
116281,0.560,19,19
116351,0.528,19,19
116417,0.544,19,19
116485,0.504,19,19
116548,0.552,19,19
116617,0.488,19,19
116678,0.528,19,19
116744,0.608,19,19
116820,1.056,19,19
116952,0.528,19,19
117018,0.520,19,19
117083,0.536,19,19
117150,0.520,19,19
117215,0.544,19,19
117283,0.544,19,19
117351,0.528,19,19
117417,0.544,19,19
117485,0.536,19,19
117552,0.560,19,19
117622,0.856,19,19
117729,0.696,19,19
117816,0.552,19,19
117885,0.512,19,19
117949,0.552,19,19
118018,0.504,19,19
118081,0.536,19,19
118148,0.560,19,19
118218,0.536,19,19
118285,0.528,19,19
118351,0.528,19,19
118417,0.536,19,19
118484,0.528,19,19
118550,0.520,19,19
118615,0.536,19,19
118682,0.544,19,19
118750,0.536,19,19
