'sample interval','PLETH','III'
'0.008 sec','mV','mV'
112501,0.42950000,-0.09898341
112502,0.42850000,-0.06046014
112503,0.42350000,-0.06046014
112504,0.41300000,-0.05778491
112505,0.39900000,-0.06367041
112506,0.37850000,-0.04601391
112507,0.35550000,-0.05189941
112508,0.32900000,-0.05189941
112509,0.29850000,-0.05189941
112510,0.26600000,-0.05189941
112511,0.23100000,-0.05457464
112512,0.19500000,-0.05457464
112513,0.15800000,-0.04868914
112514,0.12000000,-0.06046014
112515,0.08150000,-0.05457464
112516,0.04450000,-0.04868914
112517,0.00900000,-0.04280364
112518,-0.02600000,-0.06634564
112519,-0.05900000,-0.04280364
112520,-0.09050000,-0.05189941
112521,-0.12050000,-0.05457464
112522,-0.14800000,-0.06634564
112523,-0.17350000,-0.04280364
112524,-0.19700000,-0.04868914
112525,-0.21750000,-0.03424291
112526,-0.23650000,-0.05189941
112527,-0.25400000,-0.04280364
112528,-0.27050000,-0.05189941
112529,-0.28450000,-0.03424291
112530,-0.29650000,-0.04012841
112531,-0.30900000,-0.04601391
112532,-0.31950000,-0.05189941
112533,-0.33200000,-0.04012841
112534,-0.34200000,-0.03424291
112535,-0.35250000,-0.04012841
112536,-0.36150000,-0.04280364
112537,-0.37150000,-0.03103264
112538,-0.38050000,-0.00160514
112539,-0.38950000,0.00374532
112540,-0.39850000,0.00963082
112541,-0.40600000,0.00107009
112542,-0.41400000,0.00374532
112543,-0.42100000,-0.01070091
112544,-0.42750000,-0.02247191
112545,-0.43500000,-0.04012841
112546,-0.44200000,-0.03424291
112547,-0.44950000,-0.05457464
112548,-0.45600000,-0.03691814
112549,-0.46250000,-0.03424291
112550,-0.46850000,-0.01926164
112551,-0.47350000,-0.03691814
112552,-0.47850000,-0.03424291
112553,-0.48400000,-0.03691814
112554,-0.48750000,-0.04012841
112555,-0.49050000,-0.03424291
112556,-0.49500000,-0.01926164
112557,-0.49800000,-0.02247191
112558,-0.50150000,0.03317282
112559,-0.50550000,0.21776351
112560,-0.50800000,0.22364901
112561,-0.51150000,0.10058855
112562,-0.51300000,-0.03424291
112563,-0.51550000,-0.35955056
112564,-0.51800000,-0.63830926
112565,-0.51850000,-0.64419476
112566,-0.52050000,-0.49170680
