'sample interval','PLETH ','II '
'0.008 sec','mV','mV'
112501,-0.46250000,0.17097701
112502,-0.46700000,0.17337165
112503,-0.46700000,0.17097701
112504,-0.47050000,0.09051724
112505,-0.47400000,0.00814176
112506,-0.47550000,-0.01053640
112507,-0.47850000,-0.01340996
112508,-0.48200000,-0.04454023
112509,-0.48200000,-0.07806513
112510,-0.48550000,-0.08908046
112511,-0.48700000,-0.09003831
112512,-0.48850000,-0.08572797
112513,-0.48850000,-0.07902299
112514,-0.49000000,-0.06896552
112515,-0.49200000,-0.06321839
112516,-0.49000000,-0.06130268
112517,-0.49000000,-0.05651341
112518,-0.48850000,-0.04885057
112519,-0.48850000,-0.03879310
112520,-0.48700000,-0.03160920
112521,-0.48550000,-0.02825670
112522,-0.48200000,-0.02346743
112523,-0.48050000,-0.02107280
112524,-0.47400000,-0.01772031
112525,-0.46900000,-0.01053640
112526,-0.46050000,-0.00526820
112527,-0.44750000,-0.00239464
112528,-0.42950000,-0.00191571
112529,-0.40450000,-0.00191571
112530,-0.37700000,-0.00191571
112531,-0.33750000,-0.00143678
112532,-0.29300000,-0.00047893
112533,-0.24200000,-0.00287356
112534,-0.18100000,-0.00526820
112535,-0.12000000,-0.00909962
112536,-0.05600000,-0.01580460
112537,0.00800000,-0.02107280
112538,0.07050000,-0.01867816
112539,0.13300000,-0.00766284
112540,0.18900000,0.00000000
112541,0.23850000,0.00287356
112542,0.28750000,0.00909962
112543,0.32850000,0.01436782
112544,0.36650000,0.01149425
112545,0.40100000,0.00622605
112546,0.43050000,-0.00335249
112547,0.45550000,-0.01101533
112548,0.47850000,-0.01484674
112549,0.49500000,-0.01963602
112550,0.50650000,-0.02107280
112551,0.51600000,-0.02394636
112552,0.52300000,-0.02346743
112553,0.52100000,-0.02442529
112554,0.51950000,-0.02490421
112555,0.51450000,-0.02442529
112556,0.50450000,-0.02155172
112557,0.49000000,-0.02107280
112558,0.47350000,-0.01915709
112559,0.45550000,-0.01580460
112560,0.43250000,-0.01388889
112561,0.40750000,-0.01340996
112562,0.38150000,-0.00574713
112563,0.35000000,0.00095785
112564,0.31400000,-0.00383142
112565,0.27800000,-0.00718391
112566,0.24000000,-0.00526820
112567,0.20050000,-0.00383142
112568,0.16100000,-0.00047893
112569,0.12000000,0.00095785
112570,0.07900000,-0.00047893
112571,0.03950000,-0.00143678
112572,0.00000000,-0.00191571
112573,-0.03450000,0.00143678
112574,-0.06900000,0.00239464
112575,-0.10200000,0.00000000
112576,-0.13150000,0.00143678
112577,-0.15950000,0.00287356
112578,-0.18600000,0.01005747
112579,-0.20900000,0.03496169
112580,-0.23050000,0.07854406
112581,-0.25200000,0.11733716
112582,-0.27000000,0.13122605
112583,-0.28800000,0.13649425
112584,-0.30300000,0.14272031
112585,-0.31750000,0.13793103
112586,-0.32900000,0.12308429
112587,-0.34400000,0.09961686
112588,-0.35350000,0.07375479
112589,-0.36700000,0.04645594
112590,-0.37500000,0.01101533
112591,-0.38650000,-0.02442529
112592,-0.39500000,-0.04693487
112593,-0.40300000,-0.06082375
112594,-0.41150000,-0.06321839
112595,-0.41950000,-0.06465517
112596,-0.42600000,-0.06800766
112597,-0.43450000,-0.06178161
112598,-0.43950000,-0.02394636
112599,-0.44600000,0.05890805
112600,-0.45100000,0.18055556
112601,-0.45550000,0.32519157
112602,-0.46050000,0.48659004
112603,-0.46400000,0.52873563
112604,-0.46900000,0.37931034
112605,-0.47400000,0.21024904
112606,-0.47700000,0.15565134
112607,-0.47850000,0.17049808
112608,-0.48350000,0.14032567
112609,-0.48700000,0.04693487
112610,-0.49000000,-0.01293103
112611,-0.49350000,-0.01915709
112612,-0.49350000,-0.02969349
112613,-0.49700000,-0.06992337
112614,-0.49700000,-0.09770115
112615,-0.49850000,-0.10105364
112616,-0.50250000,-0.09339080
112617,-0.50250000,-0.08572797
112618,-0.50250000,-0.07758621
112619,-0.50400000,-0.06944444
112620,-0.50400000,-0.06465517
112621,-0.50250000,-0.05651341
112622,-0.49900000,-0.04406130
112623,-0.49750000,-0.04070881
112624,-0.49900000,-0.04358238
112625,-0.49550000,-0.04070881
112626,-0.49400000,-0.03065134
112627,-0.49050000,-0.02490421
112628,-0.48750000,-0.02298851
112629,-0.48250000,-0.01963602
112630,-0.47600000,-0.01724138
112631,-0.46600000,-0.01245211
112632,-0.45100000,-0.00909962
112633,-0.43150000,-0.00814176
112634,-0.40500000,-0.00478927
112635,-0.37350000,-0.00047893
112636,-0.33050000,-0.00287356
112637,-0.28250000,-0.00862069
112638,-0.22650000,-0.01245211
112639,-0.16350000,-0.01580460
112640,-0.10100000,-0.01963602
112641,-0.03650000,-0.02250958
112642,0.02950000,-0.02490421
112643,0.09400000,-0.02298851
112644,0.15050000,-0.02059387
112645,0.20800000,-0.01580460
112646,0.25800000,-0.00574713
112647,0.30400000,0.00095785
112648,0.34550000,0.00622605
112649,0.38150000,0.00335249
112650,0.41300000,-0.00191571
112651,0.44100000,-0.00718391
112652,0.46600000,-0.01388889
112653,0.48750000,-0.01772031
112654,0.50050000,-0.02203065
112655,0.51550000,-0.02490421
112656,0.52200000,-0.02442529
112657,0.52550000,-0.02203065
112658,0.52550000,-0.02634100
112659,0.52200000,-0.03160920
112660,0.51200000,-0.03160920
112661,0.50250000,-0.02969349
112662,0.48750000,-0.02634100
112663,0.47250000,-0.02298851
112664,0.45100000,-0.02107280
112665,0.42800000,-0.02107280
112666,0.40000000,-0.02059387
112667,0.37000000,-0.01772031
112668,0.33850000,-0.01436782
112669,0.30550000,-0.01197318
112670,0.26750000,-0.01245211
112671,0.22800000,-0.01101533
112672,0.18650000,-0.01053640
112673,0.14550000,-0.01053640
112674,0.10400000,-0.00862069
112675,0.06300000,-0.00622605
112676,0.02150000,-0.00431034
112677,-0.01500000,-0.00383142
112678,-0.05300000,-0.00670498
112679,-0.08600000,-0.00574713
112680,-0.11750000,-0.00526820
112681,-0.14850000,-0.00718391
112682,-0.17500000,-0.00862069
112683,-0.20150000,0.00047893
112684,-0.22450000,0.03256705
112685,-0.24450000,0.07710728
112686,-0.26600000,0.10919540
112687,-0.28250000,0.12021073
112688,-0.29900000,0.12739464
112689,-0.31550000,0.13266284
112690,-0.32900000,0.13074713
112691,-0.34050000,0.11829502
112692,-0.35350000,0.09482759
112693,-0.36350000,0.06513410
112694,-0.37500000,0.03448276
112695,-0.38350000,0.00143678
112696,-0.39500000,-0.02729885
112697,-0.40300000,-0.05076628
112698,-0.41150000,-0.06417625
112699,-0.41800000,-0.06848659
112700,-0.42800000,-0.07040230
112701,-0.43300000,-0.06752874
112702,-0.44100000,-0.05316092
112703,-0.44600000,-0.00957854
112704,-0.45450000,0.08189655
112705,-0.45750000,0.20258621
112706,-0.46450000,0.34961686
112707,-0.46750000,0.49616858
112708,-0.47400000,0.49090038
112709,-0.47900000,0.32040230
112710,-0.48250000,0.17816092
112711,-0.48750000,0.15277778
112712,-0.48900000,0.16570881
112713,-0.49400000,0.11111111
112714,-0.49550000,0.01628352
112715,-0.49750000,-0.02298851
112716,-0.50050000,-0.02586207
112717,-0.50250000,-0.04741379
112718,-0.50550000,-0.08045977
112719,-0.50550000,-0.09482759
112720,-0.50750000,-0.09147510
112721,-0.50750000,-0.08955939
112722,-0.50900000,-0.08812261
112723,-0.50900000,-0.07902299
112724,-0.50900000,-0.06848659
112725,-0.50750000,-0.05986590
112726,-0.50750000,-0.05938697
112727,-0.50550000,-0.05651341
112728,-0.50400000,-0.04741379
112729,-0.50050000,-0.04022989
112730,-0.49900000,-0.03160920
112731,-0.49400000,-0.02298851
112732,-0.49050000,-0.01628352
112733,-0.48750000,-0.01197318
112734,-0.48100000,-0.00909962
112735,-0.47100000,-0.00526820
112736,-0.45950000,-0.00191571
112737,-0.44300000,0.00287356
112738,-0.41650000,0.00862069
112739,-0.38650000,0.00862069
112740,-0.35050000,0.00670498
112741,-0.30550000,0.01005747
112742,-0.25300000,0.01340996
112743,-0.19500000,0.01149425
112744,-0.12350000,0.00335249
112745,-0.05600000,-0.00383142
112746,0.01000000,-0.01197318
112747,0.07300000,-0.01532567
112748,0.13550000,-0.01436782
112749,0.19500000,-0.00862069
112750,0.24950000,0.00191571
112751,0.30100000,0.00814176
112752,0.34550000,0.00862069
112753,0.38700000,0.00862069
112754,0.42500000,0.00670498
112755,0.45650000,0.00095785
112756,0.48450000,-0.00909962
112757,0.50750000,-0.01676245
112758,0.53050000,-0.01819923
112759,0.54550000,-0.02059387
112760,0.55550000,-0.02298851
