point,rri,ECGshift,PPGGshift
112528,0.856,25,25
112635,0.864,25,25
112743,0.872,25,25
112852,0.856,25,25
112959,0.864,25,25
113067,0.856,25,25
113174,0.864,25,25
113282,0.872,25,25
113391,0.872,25,25
113500,0.864,25,25
113608,0.864,25,25
113716,0.856,25,25
113823,0.864,25,25
113931,0.888,25,25
114042,0.840,25,25
114147,0.896,25,25
114259,0.856,25,25
114366,0.856,25,25
114473,0.856,25,25
114580,0.872,25,25
114689,0.880,25,25
114799,0.848,25,25
114905,0.864,25,25
115013,0.856,25,25
115120,0.872,25,25
115229,0.864,25,25
115337,0.864,25,25
115445,0.856,25,25
115552,0.856,25,25
115659,0.864,25,25
115767,0.880,25,25
115877,0.856,25,25
115984,0.872,25,25
116093,0.848,25,25
116199,0.864,25,25
116307,0.856,25,25
116414,0.864,25,25
116522,0.888,25,25
116633,0.864,25,25
116741,0.856,25,25
116848,0.872,25,25
116957,0.848,25,25
117063,0.864,25,25
117171,0.880,25,25
117281,0.864,25,25
117389,0.864,25,25
117497,0.848,25,25
117603,0.880,25,25
117713,0.864,25,25
117821,0.872,25,25
117930,0.864,25,25
118038,0.856,25,25
118145,0.856,25,25
118252,0.888,25,25
118363,0.864,25,25
118471,0.872,25,25
118580,0.848,25,25
118686,0.864,25,25
118794,0.848,25,25
118900,0.856,25,25
119007,0.888,25,25
119118,0.856,25,25
119225,0.856,25,25
119332,0.864,25,25
119440,0.864,25,25
119548,0.864,25,25
119656,0.864,25,25
119764,0.864,25,25
119872,0.856,25,25
119979,0.856,25,25
120086,0.864,25,25
120194,0.872,25,25
120303,0.856,25,25
120410,0.856,25,25
120517,0.856,25,25
120624,0.840,25,25
120729,0.880,25,25
120839,0.872,25,25
120948,0.856,25,25
121055,0.864,25,25
121163,0.856,25,25
121270,0.856,25,25
121377,0.864,25,25
121485,0.864,25,25
121593,0.856,25,25
121700,0.872,25,25
121809,0.840,25,25
121914,0.872,25,25
122023,0.888,25,25
122134,0.872,25,25
122243,0.856,25,25
122350,0.856,25,25
122457,0.856,25,25
122564,0.864,25,25
122672,0.864,25,25
122780,0.880,25,25
122890,0.872,25,25
122999,0.856,25,25
123106,0.864,25,25
123214,0.880,25,25
123324,0.824,25,25
123427,0.920,25,25
123542,0.864,25,25
123650,0.856,25,25
123757,0.864,25,25
123865,0.872,25,25
123974,0.880,25,25
124084,0.856,25,25
124191,0.864,25,25
124299,0.848,25,25
124405,0.864,25,25
124513,0.888,25,25
124624,0.864,25,25
124732,0.856,25,25
124839,0.872,25,25
124948,0.848,25,25
125054,0.848,25,25
125160,0.896,25,25
125272,0.864,25,25
125380,0.856,25,25
125487,0.872,25,25
125596,0.848,25,25
125702,0.864,25,25
125810,0.568,25,25
125881,0.328,25,25
125922,0.832,25,25
126026,0.864,25,25
126134,0.848,25,25
126240,0.864,25,25
126348,0.880,25,25
126458,0.840,25,25
126563,0.896,25,25
126675,0.848,25,25
126781,0.824,25,25
126884,0.880,25,25
126994,0.864,25,25
127102,0.888,25,25
127213,0.864,25,25
127321,0.856,25,25
127428,0.864,25,25
127536,0.848,25,25
127642,0.856,25,25
127749,0.896,25,25
127861,0.848,25,25
127967,0.864,25,25
128075,0.864,25,25
128183,0.856,25,25
128290,0.880,25,25
128400,0.856,25,25
128507,0.832,25,25
128611,0.888,25,25
