'sample interval','PLETH','I'
'0.008 sec','mV','mV'
2062501,-0.37350000,-0.17550000
2062502,-0.39550000,-0.17600000
2062503,-0.41250000,-0.17400000
2062504,-0.42850000,-0.16450000
2062505,-0.44200000,-0.11150000
2062506,-0.45200000,0.05400000
2062507,-0.46200000,0.32350000
2062508,-0.46850000,0.54050000
2062509,-0.47250000,0.46100000
2062510,-0.47700000,0.12000000
2062511,-0.47950000,-0.13300000
2062512,-0.48050000,-0.16150000
2062513,-0.48050000,-0.11700000
2062514,-0.47850000,-0.09350000
2062515,-0.47700000,-0.08900000
2062516,-0.47400000,-0.09600000
2062517,-0.47100000,-0.10450000
2062518,-0.46700000,-0.10750000
2062519,-0.46250000,-0.10450000
2062520,-0.45800000,-0.10100000
2062521,-0.45350000,-0.10150000
2062522,-0.44950000,-0.09950000
2062523,-0.44400000,-0.09350000
2062524,-0.43950000,-0.08650000
2062525,-0.43700000,-0.08400000
2062526,-0.43350000,-0.08000000
2062527,-0.43200000,-0.07150000
2062528,-0.42850000,-0.06400000
2062529,-0.42650000,-0.05700000
2062530,-0.42200000,-0.04750000
2062531,-0.41350000,-0.03300000
2062532,-0.40200000,-0.02050000
2062533,-0.38400000,-0.01150000
2062534,-0.35800000,-0.00350000
2062535,-0.32250000,0.00650000
2062536,-0.27650000,0.01350000
2062537,-0.22000000,0.00900000
2062538,-0.15500000,0.00100000
2062539,-0.08300000,-0.00950000
2062540,-0.00600000,-0.02550000
2062541,0.07050000,-0.04550000
2062542,0.14700000,-0.06550000
2062543,0.21850000,-0.08050000
2062544,0.28250000,-0.09550000
2062545,0.33850000,-0.10950000
2062546,0.38450000,-0.12200000
2062547,0.42250000,-0.12800000
2062548,0.45100000,-0.12800000
2062549,0.47150000,-0.12950000
2062550,0.48300000,-0.13150000
2062551,0.48800000,-0.13000000
2062552,0.48700000,-0.12850000
2062553,0.48100000,-0.13100000
2062554,0.46800000,-0.13200000
2062555,0.45000000,-0.13200000
2062556,0.42850000,-0.13550000
2062557,0.40150000,-0.14050000
2062558,0.37000000,-0.14250000
2062559,0.33550000,-0.13950000
2062560,0.28050000,-0.14100000
2062561,0.23900000,-0.14650000
2062562,0.19550000,-0.14950000
2062563,0.15050000,-0.15000000
2062564,0.10350000,-0.15350000
2062565,0.05600000,-0.15400000
2062566,0.00850000,-0.15350000
2062567,-0.03850000,-0.15050000
2062568,-0.08550000,-0.15000000
2062569,-0.13000000,-0.15200000
2062570,-0.17400000,-0.16100000
2062571,-0.21400000,-0.16150000
2062572,-0.25250000,-0.14700000
2062573,-0.28950000,-0.14100000
2062574,-0.32350000,-0.14750000
2062575,-0.35400000,-0.15250000
2062576,-0.38200000,-0.15950000
2062577,-0.40900000,-0.16950000
2062578,-0.43100000,-0.17100000
2062579,-0.45100000,-0.16600000
2062580,-0.46800000,-0.16150000
2062581,-0.48350000,-0.15950000
2062582,-0.49650000,-0.13100000
2062583,-0.50750000,-0.00700000
2062584,-0.51550000,0.24200000
2062585,-0.52250000,0.50900000
2062586,-0.52900000,0.55850000
2062587,-0.53200000,0.28050000
2062588,-0.53500000,-0.04400000
2062589,-0.53650000,-0.14250000
2062590,-0.53650000,-0.10300000
2062591,-0.53550000,-0.06550000
2062592,-0.53350000,-0.05900000
2062593,-0.53200000,-0.06700000
2062594,-0.52800000,-0.07300000
2062595,-0.52350000,-0.07300000
2062596,-0.51900000,-0.07300000
2062597,-0.51400000,-0.07250000
2062598,-0.50800000,-0.06950000
2062599,-0.50250000,-0.06500000
2062600,-0.49800000,-0.06250000
2062601,-0.49400000,-0.06100000
2062602,-0.48950000,-0.05150000
2062603,-0.48550000,-0.03750000
2062604,-0.48350000,-0.02800000
2062605,-0.48050000,-0.02350000
2062606,-0.47900000,-0.01500000
2062607,-0.47500000,-0.00200000
2062608,-0.46900000,0.01050000
2062609,-0.45900000,0.01650000
2062610,-0.44350000,0.02350000
2062611,-0.41950000,0.03250000
2062612,-0.38700000,0.04450000
2062613,-0.34400000,0.05100000
2062614,-0.29200000,0.05250000
2062615,-0.22850000,0.05000000
2062616,-0.15800000,0.04350000
2062617,-0.08100000,0.02900000
2062618,-0.00100000,0.01400000
2062619,0.07850000,-0.00450000
2062620,0.15400000,-0.02250000
2062621,0.22400000,-0.04150000
2062622,0.28450000,-0.06000000
2062623,0.33700000,-0.06550000
2062624,0.37250000,-0.06800000
2062625,0.40600000,-0.07500000
2062626,0.42950000,-0.08050000
2062627,0.44600000,-0.07900000
2062628,0.45450000,-0.07500000
2062629,0.45600000,-0.07650000
2062630,0.45050000,-0.07700000
2062631,0.43950000,-0.07650000
2062632,0.42450000,-0.07400000
2062633,0.40350000,-0.07650000
2062634,0.37900000,-0.08150000
2062635,0.34850000,-0.08400000
2062636,0.31650000,-0.08300000
2062637,0.27850000,-0.08950000
2062638,0.23850000,-0.09200000
2062639,0.19600000,-0.09500000
2062640,0.15100000,-0.09550000
2062641,0.10400000,-0.09700000
2062642,0.05650000,-0.09850000
2062643,0.00900000,-0.09550000
2062644,-0.03850000,-0.09550000
2062645,-0.08550000,-0.10000000
2062646,-0.13050000,-0.10300000
2062647,-0.17450000,-0.10750000
2062648,-0.21450000,-0.11500000
2062649,-0.25300000,-0.11350000
2062650,-0.28950000,-0.10000000
2062651,-0.32350000,-0.09500000
2062652,-0.35350000,-0.09800000
2062653,-0.38050000,-0.10700000
2062654,-0.40600000,-0.11400000
2062655,-0.42650000,-0.11550000
2062656,-0.44750000,-0.11300000
2062657,-0.46350000,-0.10850000
2062658,-0.47900000,-0.10550000
2062659,-0.49050000,-0.09500000
2062660,-0.50000000,-0.03500000
2062661,-0.50750000,0.13850000
2062662,-0.51400000,0.41450000
2062663,-0.51850000,0.62450000
2062664,-0.52150000,0.52950000
2062665,-0.52300000,0.17550000
2062666,-0.52300000,-0.07650000
2062667,-0.52300000,-0.09400000
2062668,-0.52150000,-0.03500000
2062669,-0.52000000,-0.01150000
2062670,-0.51700000,-0.01600000
2062671,-0.51300000,-0.02400000
2062672,-0.50850000,-0.02600000
2062673,-0.50400000,-0.02600000
2062674,-0.49850000,-0.02600000
2062675,-0.49450000,-0.02900000
2062676,-0.48900000,-0.02800000
2062677,-0.48350000,-0.02400000
2062678,-0.47900000,-0.01950000
2062679,-0.47600000,-0.00950000
2062680,-0.47300000,-0.00050000
2062681,-0.47000000,0.00400000
2062682,-0.46850000,0.00900000
2062683,-0.46500000,0.01600000
2062684,-0.46300000,0.02450000
2062685,-0.45850000,0.03450000
2062686,-0.45150000,0.04550000
2062687,-0.43900000,0.05800000
2062688,-0.42150000,0.06500000
2062689,-0.39500000,0.07050000
2062690,-0.35900000,0.07950000
2062691,-0.31300000,0.08900000
2062692,-0.25700000,0.08900000
2062693,-0.19300000,0.08000000
2062694,-0.12050000,0.06850000
2062695,-0.04550000,0.05800000
2062696,0.03250000,0.04150000
2062697,0.10800000,0.02200000
2062698,0.17800000,0.00750000
2062699,0.24200000,-0.00450000
2062700,0.29850000,-0.01800000
2062701,0.34500000,-0.02900000
2062702,0.38200000,-0.03350000
2062703,0.41050000,-0.03100000
2062704,0.43050000,-0.02950000
2062705,0.44200000,-0.03150000
2062706,0.44800000,-0.03350000
2062707,0.44650000,-0.03100000
2062708,0.43900000,-0.02950000
2062709,0.42650000,-0.03350000
2062710,0.40800000,-0.03600000
2062711,0.38650000,-0.03650000
2062712,0.35950000,-0.03550000
2062713,0.32850000,-0.04000000
2062714,0.29400000,-0.04150000
2062715,0.25600000,-0.04000000
2062716,0.21600000,-0.04050000
2062717,0.17350000,-0.04850000
2062718,0.12900000,-0.05350000
2062719,0.08250000,-0.04900000
2062720,0.03600000,-0.04400000
2062721,-0.00950000,-0.04050000
2062722,-0.05550000,-0.04000000
2062723,-0.09950000,-0.03800000
2062724,-0.14250000,-0.03700000
2062725,-0.18200000,-0.04350000
2062726,-0.22050000,-0.05100000
2062727,-0.25750000,-0.04400000
2062728,-0.29100000,-0.03250000
2062729,-0.32000000,-0.02950000
2062730,-0.34950000,-0.03350000
2062731,-0.37400000,-0.03850000
2062732,-0.39650000,-0.04700000
2062733,-0.41650000,-0.04600000
2062734,-0.43350000,-0.04200000
2062735,-0.44900000,-0.04000000
2062736,-0.46200000,-0.03900000
2062737,-0.47200000,-0.02100000
2062738,-0.48050000,0.07100000
2062739,-0.48750000,0.29600000
2062740,-0.49400000,0.58200000
2062741,-0.49750000,0.69850000
2062742,-0.50000000,0.47400000
2062743,-0.50150000,0.12250000
2062744,-0.50250000,-0.03300000
2062745,-0.50150000,-0.01150000
2062746,-0.50050000,0.03100000
2062747,-0.49700000,0.04550000
2062748,-0.49450000,0.04300000
2062749,-0.49150000,0.03500000
2062750,-0.48600000,0.02800000
2062751,-0.48200000,0.02700000
2062752,-0.47550000,0.02800000
2062753,-0.47000000,0.02900000
2062754,-0.46450000,0.03100000
2062755,-0.45850000,0.03950000
2062756,-0.45450000,0.04850000
2062757,-0.45150000,0.05150000
2062758,-0.44750000,0.05300000
2062759,-0.44350000,0.06000000
2062760,-0.44200000,0.07050000
2062761,-0.44050000,0.08150000
2062762,-0.43600000,0.09300000
2062763,-0.43150000,0.10500000
2062764,-0.42450000,0.11850000
2062765,-0.41150000,0.12950000
2062766,-0.39050000,0.13650000
2062767,-0.36200000,0.14550000
2062768,-0.32350000,0.15500000
2062769,-0.27450000,0.15700000
2062770,-0.21700000,0.15700000
2062771,-0.15150000,0.15450000
2062772,-0.07950000,0.14200000
2062773,-0.00550000,0.11900000
2062774,0.06950000,0.09700000
2062775,0.13950000,0.07800000
2062776,0.20650000,0.06000000
2062777,0.26450000,0.04850000
2062778,0.31450000,0.03750000
2062779,0.35650000,0.03050000
2062780,0.38900000,0.02550000
2062781,0.41200000,0.01900000
2062782,0.42900000,0.01450000
2062783,0.43750000,0.01400000
2062784,0.43950000,0.01400000
2062785,0.43500000,0.01400000
2062786,0.42650000,0.01400000
2062787,0.41250000,0.01400000
2062788,0.39250000,0.01400000
2062789,0.36950000,0.01400000
2062790,0.34100000,0.01400000
2062791,0.30950000,0.01400000
2062792,0.27400000,0.01400000
2062793,0.23600000,0.01200000
2062794,0.19500000,0.01050000
2062795,0.15250000,0.01100000
2062796,0.10850000,0.01100000
2062797,0.06400000,0.01100000
2062798,0.02100000,0.00900000
2062799,-0.02250000,0.00350000
2062800,-0.06550000,0.00650000
2062801,-0.10600000,0.00950000
2062802,-0.14450000,0.00650000
2062803,-0.18150000,-0.00100000
2062804,-0.21400000,-0.00450000
2062805,-0.24600000,0.00400000
2062806,-0.27400000,0.01100000
2062807,-0.30100000,0.01250000
2062808,-0.32550000,0.00600000
2062809,-0.34700000,-0.00650000
2062810,-0.36800000,-0.01400000
2062811,-0.38600000,-0.01150000
2062812,-0.40350000,-0.01100000
2062813,-0.41800000,-0.01300000
2062814,-0.43200000,-0.00950000
2062815,-0.44450000,0.02850000
2062816,-0.45000000,0.16500000
2062817,-0.46000000,0.41900000
2062818,-0.47100000,0.67650000
2062819,-0.48000000,0.68800000
2062820,-0.48950000,0.38100000
2062821,-0.49800000,0.06200000
2062822,-0.50500000,-0.01900000
2062823,-0.51150000,0.02850000
2062824,-0.51600000,0.06600000
2062825,-0.52000000,0.07300000
2062826,-0.52500000,0.06700000
2062827,-0.52650000,0.06200000
2062828,-0.52800000,0.06150000
2062829,-0.53050000,0.05850000
2062830,-0.53100000,0.05800000
2062831,-0.53100000,0.06300000
2062832,-0.53200000,0.07050000
2062833,-0.53200000,0.07400000
2062834,-0.53200000,0.07550000
2062835,-0.53100000,0.08400000
2062836,-0.53200000,0.09550000
2062837,-0.53200000,0.10200000
2062838,-0.53250000,0.10950000
2062839,-0.53350000,0.12750000
2062840,-0.53350000,0.14300000
2062841,-0.53200000,0.15150000
2062842,-0.52950000,0.16000000
2062843,-0.52400000,0.17300000
2062844,-0.51300000,0.18550000
2062845,-0.49500000,0.19150000
2062846,-0.46900000,0.19550000
2062847,-0.43100000,0.20050000
2062848,-0.38350000,0.19800000
2062849,-0.32600000,0.18650000
2062850,-0.25750000,0.16900000
2062851,-0.18150000,0.14750000
2062852,-0.10100000,0.12100000
2062853,-0.01900000,0.09150000
2062854,0.06200000,0.06900000
2062855,0.13800000,0.05900000
2062856,0.20750000,0.05600000
2062857,0.26600000,0.04900000
2062858,0.31650000,0.04350000
2062859,0.35600000,0.04500000
2062860,0.38600000,0.04150000
2062861,0.40550000,0.03150000
