'sample interval','PLETH ','II '
'0.008 sec','mV','mV'
75001,-0.41150000,-0.05707584
75002,-0.41150000,-0.05238468
75003,-0.42250000,-0.04612979
75004,-0.42250000,-0.04612979
75005,-0.44500000,-0.04378421
75006,-0.44500000,-0.03752932
75007,-0.44500000,-0.03127443
75008,-0.44500000,-0.02267396
75009,-0.44500000,-0.01563722
75010,-0.44500000,-0.01094605
75011,-0.44500000,-0.01172791
75012,-0.45600000,-0.00312744
75013,-0.44500000,0.00469116
75014,-0.44500000,0.00703675
75015,-0.43400000,0.01094605
75016,-0.44500000,0.01016419
75017,-0.44500000,0.00781861
75018,-0.43400000,0.00547303
75019,-0.42250000,0.00469116
75020,-0.42250000,0.00703675
75021,-0.40050000,0.01094605
75022,-0.38950000,0.01016419
75023,-0.35600000,0.00547303
75024,-0.33350000,0.00156372
75025,-0.27800000,-0.00078186
75026,-0.21150000,0.00000000
75027,-0.15550000,0.00390930
75028,-0.08900000,0.00781861
75029,-0.03350000,0.01641908
75030,0.04450000,0.01954652
75031,0.10000000,0.01329163
75032,0.16700000,0.00234558
75033,0.21150000,-0.00860047
75034,0.24500000,-0.01954652
75035,0.28950000,-0.02580141
75036,0.32250000,-0.02971071
75037,0.33400000,-0.03362002
75038,0.34500000,-0.03440188
75039,0.36700000,-0.03440188
75040,0.36700000,-0.03440188
75041,0.35600000,-0.03127443
75042,0.36700000,-0.02267396
75043,0.36700000,-0.01798280
75044,0.35600000,-0.01407349
75045,0.34500000,-0.01094605
75046,0.33400000,-0.01172791
75047,0.33400000,-0.01094605
75048,0.32250000,-0.01172791
75049,0.30050000,-0.00390930
75050,0.27800000,0.00234558
75051,0.26700000,0.00469116
75052,0.24500000,0.00469116
75053,0.23350000,0.00469116
75054,0.18900000,0.00469116
75055,0.16700000,0.00469116
75056,0.14450000,0.00469116
75057,0.12250000,0.00469116
75058,0.08900000,0.00469116
75059,0.05550000,0.00469116
75060,0.02250000,0.00469116
75061,-0.01100000,0.00469116
75062,-0.03350000,0.01016419
75063,-0.05550000,0.01641908
