'sample interval','PLETH','II'
'0.008 sec','mV','mV'
112501,0.19850000,-0.03257329
112502,0.20100000,-0.05048860
112503,0.19750000,-0.06840391
112504,0.18650000,-0.06840391
112505,0.17050000,-0.06840391
112506,0.14650000,-0.06840391
112507,0.12100000,-0.06840391
112508,0.09050000,-0.06840391
112509,0.05750000,-0.06840391
112510,0.02100000,-0.04071661
112511,-0.01650000,-0.03257329
112512,-0.05550000,-0.06840391
112513,-0.09650000,0.03745928
112514,-0.13550000,0.43973941
112515,-0.17550000,0.48371336
112516,-0.21050000,0.00162866
112517,-0.24350000,-0.26547231
112518,-0.27400000,-0.33713355
112519,-0.30250000,-0.17589577
112520,-0.32850000,-0.07654723
112521,-0.34850000,-0.10423453
112522,-0.36700000,-0.10423453
112523,-0.38250000,-0.10423453
112524,-0.39400000,-0.10423453
112525,-0.40450000,-0.10423453
112526,-0.41400000,-0.10423453
112527,-0.42100000,-0.10423453
112528,-0.45950000,-0.10423453
112529,-0.46300000,-0.08631922
112530,-0.46800000,-0.06840391
112531,-0.46800000,-0.05863192
112532,-0.47150000,-0.03257329
112533,-0.47150000,-0.00488599
112534,-0.47150000,0.02768730
112535,-0.47250000,0.07328990
112536,-0.47600000,0.10912052
112537,-0.47600000,0.14495114
112538,-0.47850000,0.15309446
112539,-0.48200000,0.18078176
112540,-0.48550000,0.18078176
112541,-0.48900000,0.21661238
112542,-0.49150000,0.21661238
112543,-0.49500000,0.18892508
112544,-0.49750000,0.18078176
112545,-0.49500000,0.14495114
112546,-0.48900000,0.10912052
112547,-0.47500000,0.07328990
112548,-0.45500000,0.03745928
112549,-0.42300000,0.01140065
112550,-0.38100000,0.00325733
112551,-0.32900000,0.00325733
112552,-0.26450000,-0.03257329
112553,-0.19500000,-0.01465798
112554,-0.12000000,0.02768730
112555,-0.04000000,0.03745928
112556,0.03400000,0.01140065
112557,0.10600000,0.00325733
112558,0.16800000,-0.00488599
112559,0.22000000,-0.03257329
112560,0.26200000,-0.03257329
112561,0.29400000,-0.03257329
112562,0.31500000,-0.03257329
112563,0.32700000,-0.06840391
112564,0.33150000,-0.06840391
112565,0.32550000,-0.06840391
112566,0.31650000,-0.06840391
112567,0.30100000,-0.05048860
112568,0.28100000,-0.03257329
112569,0.25500000,-0.05048860
112570,0.22350000,-0.09446254
112571,0.18950000,-0.08631922
112572,0.15150000,0.15309446
112573,0.11050000,0.46742671
112574,0.06700000,0.06514658
112575,0.02250000,-0.21986971
112576,-0.02450000,-0.30130293
112577,-0.07050000,-0.19381107
112578,-0.11400000,-0.10423453
112579,-0.15750000,-0.10423453
112580,-0.19750000,-0.11237785
112581,-0.23500000,-0.14006515
112582,-0.27050000,-0.14006515
112583,-0.30100000,-0.14006515
112584,-0.32800000,-0.14006515
112585,-0.35150000,-0.10423453
112586,-0.37150000,-0.10423453
112587,-0.38700000,-0.10423453
112588,-0.40100000,-0.07654723
112589,-0.41400000,-0.06840391
112590,-0.42200000,-0.06840391
112591,-0.42800000,-0.03257329
112592,-0.48650000,0.00325733
112593,-0.49300000,0.07328990
112594,-0.49600000,0.14495114
112595,-0.49850000,0.18078176
112596,-0.50400000,0.18892508
112597,-0.50500000,0.20684039
112598,-0.50800000,0.21661238
112599,-0.51200000,0.21661238
112600,-0.51350000,0.18892508
112601,-0.51600000,0.17100977
112602,-0.51600000,0.12703583
112603,-0.51850000,0.09934853
112604,-0.51450000,0.05537459
112605,-0.51050000,0.01954397
112606,-0.49850000,0.00325733
112607,-0.48100000,0.00325733
112608,-0.45550000,-0.00488599
112609,-0.41900000,-0.00488599
112610,-0.37200000,-0.00488599
112611,-0.31700000,0.00325733
112612,-0.25250000,0.01954397
112613,-0.18550000,0.03745928
112614,-0.11400000,0.03745928
112615,-0.04450000,0.03745928
112616,0.02000000,0.00325733
112617,0.07800000,0.00325733
112618,0.12650000,0.00325733
112619,0.16250000,0.00325733
112620,0.19100000,-0.03257329
112621,0.20950000,-0.03257329
112622,0.21500000,-0.02280130
112623,0.21350000,0.00325733
112624,0.20550000,-0.05863192
112625,0.18800000,0.00162866
112626,0.16550000,0.29641694
112627,0.13700000,0.18078176
112628,0.10500000,-0.24755700
112629,0.06450000,-0.44462541
112630,0.02300000,-0.36319218
112631,-0.02400000,-0.16612378
112632,-0.07100000,-0.08631922
112633,-0.12200000,-0.03257329
112634,-0.17350000,0.00325733
112635,-0.22300000,0.00325733
112636,-0.27150000,0.00325733
