'sample interval','PLETH','I'
'0.008 sec','mV','mV'
112501,-0.32750000,0.40823970
112502,-0.32000000,0.54628143
112503,-0.32000000,0.39967897
112504,-0.31750000,0.10058855
112505,-0.31750000,-0.01926164
112506,-0.31750000,-0.01658641
112507,-0.32250000,-0.03103264
112508,-0.32500000,-0.05457464
112509,-0.32750000,-0.05778491
112510,-0.33250000,-0.07544141
112511,-0.33750000,-0.07811664
112512,-0.34200000,-0.06955591
112513,-0.34950000,-0.06634564
112514,-0.35200000,-0.06634564
112515,-0.35950000,-0.05778491
112516,-0.36200000,-0.05778491
112517,-0.37200000,-0.05778491
112518,-0.37650000,-0.05457464
112519,-0.38150000,-0.04280364
112520,-0.38400000,-0.04280364
112521,-0.39400000,-0.03103264
112522,-0.39650000,-0.02247191
112523,-0.39900000,-0.01926164
112524,-0.40400000,-0.01337614
112525,-0.40150000,0.00107009
112526,-0.39900000,0.00107009
112527,-0.38400000,0.00374532
112528,-0.36700000,0.02086677
112529,-0.33750000,0.04761905
112530,-0.30050000,0.06527555
112531,-0.24650000,0.09149278
112532,-0.18250000,0.10914928
112533,-0.10850000,0.12413055
112534,-0.03200000,0.11824505
112535,0.05650000,0.11824505
112536,0.14250000,0.10326378
112537,0.22400000,0.07972178
112538,0.30250000,0.05350455
112539,0.37150000,0.01819155
112540,0.43300000,0.00107009
112541,0.47700000,-0.01337614
112542,0.50900000,-0.02835741
112543,0.53400000,-0.04601391
112544,0.54350000,-0.05457464
112545,0.53900000,-0.05778491
112546,0.52650000,-0.05778491
112547,0.50450000,-0.05778491
112548,0.47250000,-0.05778491
112549,0.43300000,-0.05778491
112550,0.39350000,-0.04868914
112551,0.34200000,-0.04868914
112552,0.28800000,-0.04012841
112553,0.23350000,-0.03103264
112554,0.17450000,-0.03424291
112555,0.11300000,-0.02247191
112556,0.05150000,-0.02247191
112557,-0.00500000,-0.02514714
112558,-0.06150000,-0.03103264
112559,-0.12100000,-0.02835741
112560,-0.17500000,-0.03103264
112561,-0.22900000,-0.03103264
112562,-0.27350000,-0.03424291
112563,-0.31750000,-0.03691814
112564,-0.35700000,-0.03424291
112565,-0.39400000,-0.03103264
112566,-0.42350000,-0.03691814
112567,-0.45050000,-0.04280364
112568,-0.47250000,-0.03424291
112569,-0.48500000,-0.02247191
112570,-0.49950000,-0.01926164
112571,-0.50450000,-0.01337614
112572,-0.50450000,-0.02247191
112573,-0.49950000,-0.00749064
112574,-0.49250000,0.00107009
112575,-0.48250000,0.00107009
112576,-0.46800000,-0.00749064
112577,-0.45550000,-0.02247191
112578,-0.44050000,-0.04012841
112579,-0.42600000,-0.04012841
112580,-0.40850000,-0.03691814
112581,-0.39150000,-0.03424291
112582,-0.38150000,-0.04868914
112583,-0.36450000,-0.07544141
112584,-0.35200000,-0.07811664
112585,-0.34000000,0.00374532
112586,-0.32500000,0.17067951
112587,-0.32000000,0.37613697
112588,-0.31050000,0.54307116
112589,-0.30550000,0.46709470
112590,-0.30300000,0.16211878
112591,-0.30050000,-0.01337614
112592,-0.30050000,-0.00481541
112593,-0.30050000,-0.01070091
112594,-0.30550000,-0.04012841
112595,-0.30800000,-0.05457464
112596,-0.31050000,-0.05778491
112597,-0.31500000,-0.05778491
112598,-0.32250000,-0.05778491
112599,-0.32500000,-0.05778491
112600,-0.33250000,-0.05457464
112601,-0.34000000,-0.05189941
112602,-0.34450000,-0.04601391
112603,-0.35450000,-0.04012841
112604,-0.35950000,-0.03424291
112605,-0.36700000,-0.02247191
112606,-0.37200000,-0.02247191
112607,-0.37650000,-0.02247191
