point,rri,ECGshift,PPGGshift
112500,0.520,19,19
112565,0.640,19,19
112645,0.688,19,19
112731,0.576,19,19
112803,0.528,19,19
112869,0.464,19,19
112927,0.584,19,19
113000,0.888,19,19
113111,0.536,19,19
113178,0.640,19,19
113258,0.496,19,19
113320,0.448,19,19
113376,0.576,19,19
113448,0.616,19,19
113525,0.480,19,19
113585,0.464,19,19
113643,0.656,19,19
113725,0.688,19,19
113811,0.544,19,19
113879,0.440,19,19
113934,0.640,19,19
114014,0.624,19,19
114092,0.784,19,19
114190,0.608,19,19
114266,0.712,19,19
114355,0.704,19,19
114443,0.624,19,19
114521,0.528,19,19
114587,0.504,19,19
114650,0.664,19,19
114733,0.600,19,19
114808,0.504,19,19
114871,0.472,19,19
114930,0.416,19,19
114982,0.392,19,19
115031,0.592,19,19
115105,0.760,19,19
115200,0.272,19,19
115234,0.432,19,19
115288,0.760,19,19
115383,0.584,19,19
115456,0.192,19,19
115480,0.328,19,19
115521,0.640,19,19
115601,0.592,19,19
115675,0.568,19,19
115746,0.616,19,19
115823,0.344,19,19
115866,0.384,19,19
115914,0.512,19,19
115978,0.376,19,19
116025,0.264,19,19
116058,0.848,19,19
116164,0.496,19,19
116226,0.608,19,19
116302,0.560,19,19
116372,0.520,19,19
116437,0.568,19,19
116508,0.520,19,19
116573,0.432,19,19
116627,0.480,19,19
116687,0.576,19,19
116759,0.528,19,19
116825,0.440,19,19
116880,0.584,19,19
116953,0.672,19,19
117037,0.520,19,19
117102,0.488,19,19
117163,0.416,19,19
117215,0.352,19,19
117259,0.240,19,19
117289,0.584,19,19
117362,0.536,19,19
117429,0.448,19,19
117485,0.704,19,19
117573,0.344,19,19
117616,0.664,19,19
117699,0.464,19,19
117757,0.568,19,19
117828,0.280,19,19
117863,0.376,19,19
117910,0.544,19,19
117978,0.624,19,19
118056,0.224,19,19
118084,0.344,19,19
118127,0.792,19,19
118226,0.568,19,19
118297,0.240,19,19
118327,0.632,19,19
118406,0.432,19,19
118460,0.408,19,19
118511,0.328,19,19
118552,0.624,19,19
118630,0.856,19,19
118737,0.464,19,19
118795,0.416,19,19
118847,0.560,19,19
118917,0.600,19,19
118992,0.352,19,19
119036,0.640,19,19
119116,0.624,19,19
119194,0.976,19,19
119316,0.656,19,19
119398,0.512,19,19
119462,0.592,19,19
119536,0.672,19,19
119620,0.656,19,19
119702,0.656,19,19
119784,0.584,19,19
119857,0.464,19,19
119915,0.488,19,19
119976,0.680,19,19
120061,0.600,19,19
120136,0.656,19,19
120218,0.616,19,19
120295,0.488,19,19
120356,0.464,19,19
120414,0.464,19,19
120472,0.464,19,19
120530,0.496,19,19
120592,0.592,19,19
120666,0.576,19,19
120738,0.496,19,19
120800,0.624,19,19
120878,0.600,19,19
120953,0.608,19,19
121029,0.576,19,19
121101,0.656,19,19
121183,0.512,19,19
121247,0.520,19,19
121312,0.488,19,19
121373,0.392,19,19
121422,0.480,19,19
121482,0.456,19,19
121539,0.440,19,19
121594,0.592,19,19
121668,0.640,19,19
121748,0.568,19,19
121819,0.584,19,19
121892,1.160,19,19
122037,0.776,19,19
122134,1.152,19,19
122278,0.432,19,19
122332,0.456,19,19
122389,0.608,19,19
122465,0.656,19,19
122547,0.784,19,19
122645,0.568,19,19
122716,0.504,19,19
122779,0.496,19,19
122841,0.472,19,19
122900,0.752,19,19
122994,0.600,19,19
123069,0.368,19,19
123115,0.280,19,19
123150,0.744,19,19
123243,0.592,19,19
123317,0.672,19,19
123401,0.704,19,19
123489,0.592,19,19
123563,0.680,19,19
123648,0.312,19,19
123687,0.624,19,19
123765,0.488,19,19
123826,0.328,19,19
123867,4.352,19,19
124411,0.616,19,19
124488,0.632,19,19
124567,0.528,19,19
124633,0.384,19,19
124681,0.592,19,19
124755,0.624,19,19
124833,0.600,19,19
124908,0.656,19,19
124990,0.592,19,19
125064,0.360,19,19
125109,0.680,19,19
125194,0.408,19,19
125245,0.392,19,19
125294,0.176,19,19
