'sample interval','PLETH ','II '
'0.008 sec','mV','mV'
112501,-0.49500000,0.08605852
112502,-0.49500000,0.08605852
112503,-0.49350000,0.09552496
112504,-0.49100000,0.09552496
112505,-0.48650000,0.10929432
112506,-0.48150000,0.10929432
112507,-0.47750000,0.12822719
112508,-0.47350000,0.11876076
112509,-0.47000000,0.13769363
112510,-0.46750000,0.13339071
112511,-0.46650000,0.13769363
112512,-0.46550000,0.13339071
112513,-0.46800000,0.14285714
112514,-0.47150000,0.13769363
112515,-0.47600000,0.14285714
112516,-0.48250000,0.13769363
112517,-0.48850000,0.14285714
112518,-0.49350000,0.13339071
112519,-0.49950000,0.13339071
112520,-0.50100000,0.13339071
112521,-0.49850000,0.13769363
112522,-0.48950000,0.13339071
112523,-0.47000000,0.13339071
112524,-0.43850000,0.12392427
112525,-0.39100000,0.11445783
112526,-0.32750000,0.11445783
112527,-0.25000000,0.09552496
112528,-0.15850000,0.08605852
112529,-0.05650000,0.05765921
112530,0.04600000,0.05249570
112531,0.14900000,0.03872633
112532,0.24300000,0.03356282
112533,0.32500000,0.01462995
112534,0.38950000,0.01979346
112535,0.43750000,0.00172117
112536,0.46800000,0.00172117
112537,0.48400000,0.00172117
112538,0.48550000,0.00172117
112539,0.47900000,-0.00774527
112540,0.46300000,0.00172117
112541,0.44200000,0.00172117
112542,0.41650000,0.00172117
112543,0.38850000,0.00172117
112544,0.36000000,0.00172117
112545,0.32900000,0.00172117
112546,0.29600000,0.00172117
112547,0.26100000,0.00172117
112548,0.22700000,0.00172117
112549,0.18900000,0.00172117
112550,0.15200000,0.00172117
112551,0.11250000,0.00172117
112552,0.07200000,-0.00258176
112553,0.03100000,-0.00258176
112554,-0.01050000,-0.01721170
112555,-0.05150000,-0.01204819
112556,-0.09200000,-0.01721170
112557,-0.13150000,0.00172117
112558,-0.16750000,-0.01721170
112559,-0.20050000,-0.00774527
112560,-0.22900000,-0.01721170
112561,-0.25350000,-0.00774527
112562,-0.27300000,-0.01721170
112563,-0.28800000,-0.00774527
