point,rri,ECGshift,PPGGshift
146086,0.728,19,19
146177,0.720,19,19
146267,0.728,19,19
146358,0.720,19,19
146448,0.744,19,19
146541,0.712,19,19
146630,0.400,19,19
146680,0.320,19,19
146720,0.704,19,19
146808,0.720,19,19
146898,0.728,19,19
146989,0.648,19,19
147070,0.744,19,19
147163,0.712,19,19
147252,0.672,19,19
147336,0.712,19,19
147425,0.696,19,19
147512,0.712,19,19
147601,0.736,19,19
147693,0.688,19,19
147779,0.688,19,19
147865,0.632,19,19
147944,0.776,19,19
148041,0.712,19,19
148130,0.712,19,19
148219,0.688,19,19
148305,0.696,19,19
148392,0.680,19,19
148477,0.728,19,19
148568,0.720,19,19
148658,0.696,19,19
148745,0.696,19,19
148832,0.704,19,19
148920,0.696,19,19
149007,0.720,19,19
149097,0.672,19,19
149181,0.696,19,19
149268,0.720,19,19
149358,0.736,19,19
149450,0.752,19,19
149544,0.616,19,19
149621,0.696,19,19
149708,0.704,19,19
