'sample interval','PLETH','III'
'0.008 sec','mV','mV'
1140001,-0.30250000,0.20069808
1140002,-0.32150000,0.28970332
1140003,-0.34100000,0.33333333
1140004,-0.35800000,0.36300175
1140005,-0.37950000,0.38743455
1140006,-0.39650000,0.41361257
1140007,-0.41100000,0.43630017
1140008,-0.42550000,0.45200698
1140009,-0.44000000,0.45724258
1140010,-0.45200000,0.47643979
1140011,-0.46650000,0.51657941
1140012,-0.47850000,0.55322862
1140013,-0.49300000,0.59511344
1140014,-0.50300000,0.63001745
1140015,-0.51250000,0.65270506
1140016,-0.52200000,0.69633508
1140017,-0.52700000,0.73298429
1140018,-0.52700000,0.73298429
1140019,-0.52200000,0.69982548
1140020,-0.51500000,0.62303665
1140021,-0.48850000,0.50610820
1140022,-0.47450000,0.37696335
1140023,-0.43150000,0.26701571
1140024,-0.37450000,0.17452007
1140025,-0.31050000,0.10122164
1140026,-0.23500000,0.06108202
1140027,-0.15550000,0.05061082
1140028,-0.07100000,0.04188482
1140029,0.01150000,0.02268761
1140030,0.09100000,0.00698080
1140031,0.16400000,-0.00698080
1140032,0.23250000,-0.01221640
1140033,0.29200000,-0.01919721
1140034,0.34450000,-0.02617801
1140035,0.38550000,-0.02443281
1140036,0.41950000,-0.02617801
1140037,0.44700000,-0.02443281
1140038,0.46500000,-0.02617801
1140039,0.48350000,-0.02443281
1140040,0.49050000,-0.02617801
1140041,0.49050000,-0.00872600
1140042,0.48350000,0.00523560
1140043,0.47450000,0.02792321
1140044,0.46050000,0.04363002
1140045,0.44000000,0.05061082
1140046,0.41750000,0.04188482
1140047,0.39200000,0.03664921
1140048,0.36500000,0.04363002
1140049,0.34000000,0.04188482
1140050,0.31250000,0.01047120
1140051,0.28250000,-0.00523560
1140052,0.25750000,-0.00523560
1140053,0.23250000,0.00000000
1140054,0.20750000,-0.00523560
1140055,0.18250000,-0.01221640
1140056,0.15750000,-0.01919721
1140057,0.13450000,-0.02617801
1140058,0.10950000,-0.00698080
1140059,0.08650000,0.01047120
1140060,0.06150000,0.02617801
1140061,0.03650000,0.06980803
1140062,0.01350000,0.17277487
1140063,-0.00950000,0.22513089
1140064,-0.03450000,0.07853403
1140065,-0.05500000,-0.40837696
1140066,-0.08250000,-1.20069808
1140067,-0.10300000,-1.93368237
1140068,-0.12550000,-2.19197208
1140069,-0.14850000,-1.96858639
1140070,-0.17100000,-1.49912740
1140071,-0.18950000,-0.97731239
1140072,-0.21250000,-0.49214660
1140073,-0.23500000,-0.14136126
1140074,-0.25350000,0.06457243
1140075,-0.27400000,0.20244328
1140076,-0.29200000,0.30715532
1140077,-0.30800000,0.36649215
1140078,-0.32850000,0.39092496
1140079,-0.34700000,0.41361257
1140080,-0.36300000,0.43804538
1140081,-0.37650000,0.45724258
1140082,-0.39000000,0.47643979
1140083,-0.40400000,0.49563700
1140084,-0.42000000,0.50785340
1140085,-0.43150000,0.51657941
1140086,-0.44050000,0.54101222
1140087,-0.44950000,0.57068063
1140088,-0.46250000,0.58987784
1140089,-0.46900000,0.60732984
1140090,-0.47550000,0.64572426
1140091,-0.48200000,0.68586387
1140092,-0.48400000,0.70157068
1140093,-0.48000000,0.67364747
1140094,-0.46700000,0.61605585
1140095,-0.44950000,0.51832461
1140096,-0.41900000,0.40139616
1140097,-0.38200000,0.29319372
1140098,-0.32800000,0.20069808
1140099,-0.26900000,0.13787086
1140100,-0.19950000,0.09249564
1140101,-0.12600000,0.06282723
1140102,-0.04750000,0.04537522
1140103,0.02850000,0.03664921
1140104,0.10450000,0.03141361
1140105,0.17400000,0.00000000
1140106,0.23250000,-0.02443281
1140107,0.28900000,-0.00698080
1140108,0.33900000,0.01745201
1140109,0.37600000,0.03839442
1140110,0.40850000,0.04886562
1140111,0.43250000,0.04886562
1140112,0.45200000,0.04886562
1140113,0.46300000,0.04886562
1140114,0.46950000,0.04886562
1140115,0.46950000,0.04886562
1140116,0.46300000,0.04886562
1140117,0.45650000,0.04886562
1140118,0.43900000,0.04886562
1140119,0.42150000,0.04886562
1140120,0.40000000,0.04886562
1140121,0.37600000,0.04886562
1140122,0.35000000,0.04886562
1140123,0.32400000,0.04886562
1140124,0.29750000,0.04886562
1140125,0.27150000,0.04886562
1140126,0.25200000,0.04886562
1140127,0.22800000,0.04886562
1140128,0.20450000,0.04886562
1140129,0.18250000,0.04886562
1140130,0.16300000,0.04188482
1140131,0.13900000,0.02268761
1140132,0.11750000,0.01745201
1140133,0.09600000,0.02966841
1140134,0.07400000,0.04886562
1140135,0.05000000,0.08376963
1140136,0.02850000,0.18499127
1140137,0.00450000,0.23734729
1140138,-0.01700000,0.08551483
1140139,-0.04300000,-0.40139616
1140140,-0.06500000,-1.18150087
1140141,-0.08650000,-1.88132635
1140142,-0.10850000,-2.14310646
1140143,-0.13250000,-1.94764398
1140144,-0.15400000,-1.46073298
