'sample interval','PLETH','III'
'0.008 sec','mV','mV'
112501,-0.33650000,0.04750000
112502,-0.36150000,0.04700000
112503,-0.38200000,0.05250000
112504,-0.40700000,0.05750000
112505,-0.42250000,0.05150000
112506,-0.44300000,0.04500000
112507,-0.45900000,0.04750000
112508,-0.47300000,0.05300000
112509,-0.48850000,0.05450000
112510,-0.50000000,0.05150000
112511,-0.50700000,0.05250000
112512,-0.51150000,0.05950000
112513,-0.51600000,0.06150000
112514,-0.51600000,0.05850000
112515,-0.51350000,0.05800000
112516,-0.50450000,0.06050000
112517,-0.49100000,0.05850000
112518,-0.47300000,0.05800000
112519,-0.44550000,0.05600000
112520,-0.40700000,0.04850000
112521,-0.36150000,0.03700000
112522,-0.30450000,0.02900000
112523,-0.23400000,0.02350000
112524,-0.15900000,0.01700000
112525,-0.07500000,0.00950000
112526,0.00900000,0.00300000
112527,0.09800000,-0.00050000
112528,0.18450000,-0.00850000
112529,0.26150000,-0.01750000
112530,0.33000000,-0.01700000
112531,0.38900000,-0.01100000
112532,0.43200000,-0.00900000
112533,0.46400000,-0.00850000
112534,0.47750000,-0.00350000
112535,0.48000000,0.00250000
112536,0.46600000,0.00900000
112537,0.44350000,0.02300000
112538,0.40500000,0.04550000
112539,0.35500000,0.06850000
112540,0.29800000,0.09300000
112541,0.23200000,0.10050000
112542,0.16150000,0.09100000
112543,0.09350000,0.07200000
112544,0.02300000,0.04250000
112545,-0.04750000,0.01450000
112546,-0.10900000,0.00000000
112547,-0.16150000,-0.01400000
112548,-0.20200000,-0.02550000
112549,-0.23200000,-0.03500000
112550,-0.25450000,-0.04000000
112551,-0.26350000,-0.04000000
112552,-0.26150000,-0.03950000
112553,-0.25450000,-0.03850000
112554,-0.24100000,-0.03750000
112555,-0.22500000,-0.03700000
112556,-0.20900000,-0.03500000
112557,-0.19550000,-0.02900000
112558,-0.18200000,-0.01300000
112559,-0.17050000,-0.00750000
112560,-0.16600000,-0.04950000
112561,-0.16600000,-0.11700000
112562,-0.16800000,-0.17700000
112563,-0.17500000,-0.23150000
112564,-0.18400000,-0.26800000
112565,-0.20000000,-0.27550000
112566,-0.21800000,-0.25000000
112567,-0.23400000,-0.18900000
112568,-0.25450000,-0.11100000
112569,-0.27700000,-0.04350000
112570,-0.29750000,-0.00300000
112571,-0.32050000,0.01200000
112572,-0.34550000,0.01800000
112573,-0.36600000,0.02100000
112574,-0.38400000,0.02200000
112575,-0.40700000,0.02350000
112576,-0.42750000,0.02350000
112577,-0.44300000,0.02150000
112578,-0.46150000,0.02050000
112579,-0.47750000,0.02050000
112580,-0.49100000,0.02350000
112581,-0.50450000,0.02550000
112582,-0.51350000,0.02300000
112583,-0.52050000,0.02200000
112584,-0.52300000,0.02200000
112585,-0.52500000,0.02350000
112586,-0.52750000,0.02550000
112587,-0.52050000,0.02500000
112588,-0.50900000,0.02650000
112589,-0.49800000,0.02700000
112590,-0.47750000,0.02550000
112591,-0.45000000,0.02650000
112592,-0.40900000,0.02650000
112593,-0.36350000,0.02500000
112594,-0.30700000,0.02300000
112595,-0.24100000,0.01450000
112596,-0.16350000,0.00600000
112597,-0.08400000,0.00300000
112598,0.00450000,-0.00400000
112599,0.09100000,-0.01750000
112600,0.17750000,-0.02250000
112601,0.25250000,-0.02200000
112602,0.32050000,-0.02200000
112603,0.38000000,-0.01800000
112604,0.42300000,-0.01000000
112605,0.45050000,-0.01050000
112606,0.46600000,-0.01250000
112607,0.46850000,-0.00400000
112608,0.45250000,0.00900000
112609,0.42550000,0.02400000
112610,0.38900000,0.04800000
112611,0.34100000,0.07050000
112612,0.28650000,0.08900000
112613,0.22300000,0.10100000
112614,0.15500000,0.09300000
112615,0.08450000,0.06950000
112616,0.01400000,0.04350000
112617,-0.05000000,0.01900000
112618,-0.11350000,-0.00150000
112619,-0.16350000,-0.01450000
112620,-0.20450000,-0.02250000
112621,-0.23650000,-0.03150000
112622,-0.25200000,-0.03800000
112623,-0.26150000,-0.04200000
112624,-0.26150000,-0.04400000
112625,-0.25450000,-0.04550000
112626,-0.23850000,-0.04950000
112627,-0.22250000,-0.05150000
112628,-0.20650000,-0.04600000
112629,-0.19100000,-0.04000000
112630,-0.17700000,-0.02450000
112631,-0.16800000,-0.01800000
112632,-0.16100000,-0.05450000
112633,-0.16100000,-0.11550000
112634,-0.16600000,-0.17000000
112635,-0.17250000,-0.21650000
112636,-0.18150000,-0.25150000
112637,-0.19750000,-0.26950000
112638,-0.21600000,-0.24950000
112639,-0.23400000,-0.18650000
112640,-0.25450000,-0.10450000
112641,-0.27700000,-0.03600000
112642,-0.30000000,0.00350000
112643,-0.32250000,0.01600000
112644,-0.34550000,0.02000000
112645,-0.36800000,0.02150000
112646,-0.39100000,0.02200000
112647,-0.40900000,0.02350000
112648,-0.42950000,0.02700000
112649,-0.44750000,0.03050000
112650,-0.46350000,0.03250000
112651,-0.47950000,0.03200000
112652,-0.49300000,0.03250000
112653,-0.50450000,0.03150000
112654,-0.51350000,0.02950000
112655,-0.51800000,0.03100000
112656,-0.52250000,0.03750000
112657,-0.52500000,0.03950000
112658,-0.52050000,0.03850000
112659,-0.51600000,0.04000000
112660,-0.50900000,0.04300000
112661,-0.49550000,0.04550000
112662,-0.47750000,0.04700000
112663,-0.44750000,0.04700000
112664,-0.41150000,0.04500000
112665,-0.36600000,0.04150000
112666,-0.30900000,0.03400000
112667,-0.24300000,0.02400000
112668,-0.17050000,0.01800000
112669,-0.08850000,0.01550000
112670,-0.00450000,0.01050000
112671,0.08200000,0.00700000
112672,0.16850000,0.00650000
112673,0.24900000,0.00350000
112674,0.31600000,0.00150000
112675,0.37350000,0.00200000
112676,0.41500000,0.00300000
112677,0.44500000,0.00650000
112678,0.46100000,0.00750000
